Rank,School,Name,Adjusted Rating,Deviation,Matches,Rating,Hash
1,Emory,Gallagher & Song,2153.8857093403167,73.96197158444285,78,2301.8096525092024,1ddfdefc74a94c170af702beb9f6936709a81fdad578e7155cd545c88e401b10
2,Michigan,Barrett & Park,2048.786509400975,71.6447081960738,78,2192.075925793122,d30b7d1f1165c53633796489511714cec99c073a442c3d278b75e2121c238e53
3,Kansas,Larson & Schultz,2047.7437981808334,74.6287763671367,86,2197.0013509151067,f90fa31e0071d2c837f913fd72be7bbcf78ac4f9cb60827add21e8d61bba7b6a
4,Georgetown,Aggarwal & Cowan,1950.457939481214,69.74808882631847,84,2089.954117133851,40cbdfd14b415f339dbd7ffeab2619658679c882f09bd7427c560aa5e0bcbc5d
5,Michigan,Shah & Shih,1943.1628581718696,70.31755456322638,61,2083.7979672983224,574925532b6d4ff165297692fa59a2499231d6d72b76f94e94404023599f5b19
6,Northwestern,Li & Rubin,1889.4359919996732,72.64397741517706,74,2034.7239468300272,d1025dc898ac4f1e0055944d4d94ac8492887fd39e05e127d835fd8752c360e0
7,Iowa,Anderson McElligott & Parfenoff,1852.828282100416,69.43868634368727,69,1991.7056547877905,658fd040cb0a4380aa7954e4323f67acc9b33bc0438d6e1fe6476c0515b9a71f
8,CSU Long Beach,Medina & Ortega,1848.4930175900881,70.87249129076076,75,1990.2380001716097,92c6d63cbc9e66aff9dcaa7b54c526c2c9d5f86c876b1ed1ffd3b4986fc11833
9,Binghamton,Cohn & King,1843.148773479164,69.76268228551109,65,1982.6741380501862,1966b54ce3fb7071dd311292cbc15b2a3f2452b18a55efa941f80ee6fca6dc91
10,Michigan,Esmailzadeh & Shetty,1840.1567433616822,72.69111373332068,52,1985.5389708283235,e23292c274fcdbcac1bc23d4b68a3174ddf6adf36863d776d4c551491ddbb96c
11,Kansas,Marshall & Suleman,1818.5952032075484,118.08239052214135,10,2054.759984251831,6207fb51c3d25d6703f36cf1b009a1740330ead6d42443ff08712b44c6694123
12,Kansas,Hato & Persinger,1796.7675210338036,75.09950737268535,48,1946.9665357791744,935d516c4c761e7423e0d592d9f767a74689a8df1303ba5f31bf6a7c8cd40390
13,UC Berkeley,Menotti & Reichel,1789.8256848719652,68.96012643548949,62,1927.745937742944,ca5d91637c6bbd316587e14062a3a331690a802a8ee6eb0eae06345e0495f626
14,Michigan,Barrett & Esmailzadeh,1786.7877357458112,129.3372857224414,9,2045.462307190694,5e15970081f869f7a7cbc6bd790ea07850a61dddcbf0cde8042ca99847144e45
15,Kansas,Owings & Willingham,1772.6967067729477,69.04457771570335,65,1910.7858622043543,0b8b78583e7e350747698c0fcd12c997ec45d6384721a0957250486ab5d4a0f3
16,Michigan State,Gusis & Lewis,1771.9293635676315,70.77750621192627,74,1913.484375991484,afa5e5e133d3d08523f9973a37f8f25e3baebabdb147d3fe6aea9d67ebe5c1e8
17,Emory,Rupp & Young,1742.8522167730112,70.15310590057224,54,1883.1584285741556,f6bae466b8e97b5fea19efc5c95e232ee95ddaf640b37e2e974820fd906069bd
18,Macalester,Harrison & Kochel,1741.5253041434958,95.05294247333768,18,1931.6311890901711,5eb2e6c6bd1a624fb3776673991e197198379ab40b652888dd7f6504b1bb8c44
