Rank,School,Name,Rating,Aff Win Rate,Neg Win Rate,Aff Elim Win Rate,Neg Elim Win Rate
1,Emory,Gallagher & Song,2193.25,85.71,93.62,73.33,100.0
2,Michigan,Barrett & Park,2023.54,69.05,89.13,64.29,88.24
3,Georgetown,Aggarwal & Cowan,1988.61,68.75,85.11,68.75,88.24
4,Michigan,Shah & Shih,1983.7,78.79,77.5,80.0,72.22
5,Kansas,Larson & Schultz,1959.38,76.0,89.13,63.64,88.24
6,CSU Long Beach,Medina & Ortega,1895.22,72.34,71.15,66.67,76.19
7,Northwestern,Li & Rubin,1887.58,75.0,69.23,70.59,50.0
8,Binghamton,Cohn & King,1856.49,61.36,77.5,38.46,81.82
9,Michigan,Esmailzadeh & Shetty,1841.7,68.75,75.86,66.67,85.71
10,UC Berkeley,Menotti & Reichel,1838.25,68.42,65.71,69.23,50.0
11,Kansas,Hato & Persinger,1829.9,75.86,65.52,62.5,55.56
12,Michigan State,Gusis & Lewis,1822.67,64.44,70.0,56.25,75.0
13,Kansas,Marshall & Suleman,1818.6,80.0,80.0,100.0,100.0
14,Iowa,Anderson McElligott & Parfenoff,1797.77,58.33,88.1,50.0,78.57
15,Michigan,Barrett & Esmailzadeh,1786.79,80.0,75.0,100.0,100.0
16,Emory,Kim & Shirts,1780.75,63.33,67.86,66.67,62.5
17,Kansas,Owings & Willingham,1774.96,65.0,65.71,66.67,33.33
18,Emory,Rupp & Young,1742.85,53.85,75.0,0.0,100.0
19,Macalester,Harrison & Kochel,1741.43,53.85,78.57,33.33,85.71
20,Emory,Gallagher & Rupp,1739.78,80.0,100.0,50.0,100.0
21,Emory,Lobo & Yang,1735.11,58.97,69.7,30.77,87.5
22,Kentucky,Rimpson & Washington,1713.19,66.67,80.0,100.0,66.67
23,Northwestern,Pacconi & Souchet,1706.72,62.96,62.96,25.0,66.67
24,Kansas,Ain & Ulven,1706.05,58.33,60.61,,28.57
25,Michigan,Shah & Shetty,1702.89,80.0,100.0,100.0,
26,Dartmouth,Cai & Goldberg,1695.87,44.83,59.46,60.0,50.0
27,Northwestern,Arney & Tahirkheli,1690.93,58.62,65.52,44.44,42.86
28,Kentucky,Gabay & Slish,1683.66,60.0,58.97,50.0,50.0
29,Michigan,Chamarthy & Shih,1679.27,100.0,83.33,100.0,100.0
30,Northwestern,Nestor & Patterson,1669.31,55.0,78.26,0.0,50.0
31,Baylor,Darwish & Lassen,1658.75,61.11,55.56,33.33,44.44
32,Iowa,Eltyeb & Weimar,1633.91,63.64,57.14,57.14,33.33
33,Kansas,Shaw & Suleman,1629.4,62.96,62.5,50.0,66.67
34,Michigan,Chamarthy & Chen,1624.68,54.17,65.22,33.33,0.0
35,Harvard,Deshpande & Sridharan,1613.28,55.56,58.33,37.5,33.33
36,NYU,Makinde & Saigal,1609.82,64.0,57.69,60.0,45.45
37,Liberty,Cunningham & Layton,1602.68,61.29,51.43,44.44,45.45
38,UTD,Penumetcha & Ravi,1599.86,63.89,42.42,27.27,28.57
39,Texas,Feinstein & Low,1595.45,56.67,54.84,57.14,28.57
40,UC Berkeley,Boguslavsky & Urfalian,1589.32,41.94,80.65,16.67,66.67
41,Wake Forest,Leverett & Wolfe,1571.37,62.96,50.0,100.0,0.0
42,Stanford,Lai & Lai,1565.54,54.55,61.54,100.0,0.0
43,Michigan State,Gearring & Shehzad,1562.23,64.1,42.5,36.36,40.0
44,Michigan State,Foster & Martin,1562.1,60.53,62.5,28.57,42.86
45,Emory,Cross & Shirts,1562.06,83.33,60.0,100.0,50.0
46,Western Kentucky,Fournier & Ney,1557.62,56.25,66.67,50.0,40.0
47,George Mason,Witkov & Wright,1553.21,62.5,54.05,50.0,50.0
48,Emory,Geevarghese & Maxwell,1546.88,54.55,72.73,,
49,Kansas,Harker & Schultz,1543.51,100.0,66.67,100.0,100.0
50,Kansas,Brown & Walawender,1539.72,40.74,66.67,0.0,50.0
