Institution,Location,Entry,Code,Mode,Record,hash
Baylor,TX/US,Li & Phillips,Baylor LP,1,,7b9079c7e19090355cd246855d5721caa86dc3693bcc2fb1b2d05c70606b502b
CSU Long Beach,CA/US,Medina & Ortega,CSU Long Beach OM,0,,92c6d63cbc9e66aff9dcaa7b54c526c2c9d5f86c876b1ed1ffd3b4986fc11833
Dartmouth,NH/US,Ben-Abdallah & Park,Dartmouth BP,1,,e4f73704c0ecf0f7e8d51f67cdc7527bdae66201cae041f83bcff91b372aad6b
Emory,GA/US,Aggarwal & Stumpff,Emory AS,0,,fc53d7931ee8d00ec9f4be9c4f71eb0478342910085395890e33e9b57817299e
Emory,GA/US,Charabuddi & Ravikumar,Emory CR,0,,029e341fe47f58b550ea5ca5adc976eb39c91a249b5bffeb4195452202fc01f5
Emory,GA/US,Gallagher & Rupp,Emory GR,0,,37a13c9576fd7e7ad8658a2b55af4a2ef0b7b382669de70a0cf30c4aba7b49c8
Emory,GA/US,Lobo & Yang,Emory LY,0,,847f24a888a76f17f73711d8afb95a4dae962578f90b12abf367331769553709
Emory,GA/US,Stearns & Tai,Emory ST,0,,cc8e92a08a59fd831ef422e561aa4cb0228ad5e772beeefdcfafb1961ad91034
George Mason,VA/US,Davis & Esteves,George Mason DE,1,,9a6a9e2210d0019f9e78a6f102cdca6735cb9329fa8e41e7a2b478f779adbf7c
George Mason,VA/US,Reyes & Shananier,George Mason RS,1,,40a8fbec50f5f0706b840901c0a079c966923b6cd71707e79722174e7a5322f1
George Mason,VA/US,Richter & Taxali,George Mason RT,1,,f7741b1a6034d4f7cae5287b5e00fd4b9156be7a83cde906c67bbd4f3d1bcde0
George Mason,VA/US,Witkov & Wright,George Mason WW,1,,01b4a037e94c64e63f46c63bf6d1e23ef6e4702d89288735b0ad86fc6c28383c
Georgetown,DC/US,Aggarwal & Cowan,Georgetown CA,0,,40cbdfd14b415f339dbd7ffeab2619658679c882f09bd7427c560aa5e0bcbc5d
Georgetown,DC/US,Greenberg & Tamfu,Georgetown GT,0,,27d662cc1669b0a2712c53a45d72c9f6e5401fc1516a04f7454bb03f9c52a838
Georgetown,DC/US,Lastelick & Nanji,Georgetown LN,0,,de22fee965f9ca3f7c089124687ffce776fd5e89441afee151550c16f72b7ef7
Georgia,GA/US,Chapman & Lackey,Georgia CL,0,,1f7c0af35cfce9a858dc2c781605e3f6c70a5f2845040b34dda48c5c0e0e7ad8
Georgia,GA/US,Cannon & Pack,Georgia CP,0,,a859963999d97266a763f3801281bc5cd3cc18941449ed0330ca369fc6ea13d8
Indiana,IN/US,Fish & Truemper,Indiana TF,0,,523398fee3c47263deb3c956dd05b15d650c3df156b872a84ed45ddb06345cf1
Kansas,KS/US,Brown & Walawender,Kansas BW,0,,0d084d016924a8a9526c83354fab982bbfd4910acef0eae93a3b086d1aa59960
Kansas,KS/US,LaPoint & Levin,Kansas LL,0,,345a3bdb7abda730b1491db5cf89e9fa34da0d8693e6ab27922a5bc120851134
Kansas,KS/US,Larson & Schultz,Kansas LS,0,,f90fa31e0071d2c837f913fd72be7bbcf78ac4f9cb60827add21e8d61bba7b6a
Kansas,KS/US,Lemaster & Verma,Kansas LV,1,,52147e7639eb2b5a3d10710b390eb4d4c154dbc3d72eba4f50b3a118ba9df560
Kansas,KS/US,Hernandez & Martinez,Kansas MH,1,,5a133f3d1928d685f722fc627d841800f7d42127870410dffb67e2d51c664691
Kansas,KS/US,Blaser & Suleman,Kansas SB,0,,215546c4b3f979f75d7bbcd5b83f766a40e6cc78d8b4ac609a9720d39dcdda54
Kansas,KS/US,McConnell & Smith,Kansas SM,0,,fd2e8e12dcb2c5821b2f74c1fdd9879838d517576f40af132d0e70e67110d8d7
Kansas State,KS/US,Robertson & Sum,Kansas State SR,0,,1d9a99dca1a776a1d9fa09b8f10c17b9840e61dc6324c66b45fdabe60d16b905
Kansas,KS/US,Chaudhry & Terreros,Kansas TC,0,,526d0c5469b2a66f32de26595100c54d11fcddb5b63dca86eb8c346162d4ddc1
Kansas,KS/US,Ain & Ulven,Kansas UA,0,,5192f58d4a4815870e6588e8f7611d386bd6347ade4b69e974bcc6f6da9d90b5
