Institution,Location,Entry,Code,Record,hash
Central Oklahoma,OK/US,Kagiri & Walker,Central Oklahoma Louis Kagiri & Kensington Walker,,32ece54e7006327c1ab66f11a4394c8f635823cf0826b2c7d846c40deeb66425
Iowa,IA/US,Larsen & Severson,Iowa Kaj Larsen & Lily Severson,,d99a520e4a85042133467089e58b4d2a140ab274212bbef28df0828e72192a39
Kentucky,KY/US,Rushing & Schedler,Kentucky Jonn Rushing & Haddie Schedler,,657b8a744b40458b794c3608f24db59d0df7815953068b53827b075872811f03
Northern Iowa,IA/US,Van Buren & Miller,Northern Iowa Kat Van Buren & Tony Miller,,ebe2d651c347c1ff2f4c4c7e0ecf82c503fc7daa716801e441640d5676ca879c
NYU,NY/US,Khade & Khalif,NYU Akhil Khade & Muad Khalif,,d45c26648c4e3aa6a0ffc6c75611df559962e80e858863a67d2ecde95aa398e4
NYU,NY/US,Jain & Theiding,NYU Anuj Jain & Callum Theiding,,b38b81c7b58f67e050f0ed296d5e3b09e04f155501b5d5cb02a8e7959e6a39d5
Southwestern,CA/US,Munoz & Figueroa,Southwestern Daniel Munoz & John Figueroa,,df6ca2e84c9964ac65f448599a8f91db364de6cf8b6c94fb35896bbd9821bc8a
West Georgia,GA/US,Kennon & Missell,West Georgia James Kennon & Bruce Missell,,4baf69e0fcb65aa6ec6951ea6b1bfd905a27131c5b4a26c52306a6553ac66c45
Wyoming,WY/US,Willson & Widi,Wyoming Jean-Luc Willson & Saimaa Widi,,1d8b8e25c69135d32ac3a5ffe9b720d36ca326a5ba5b57447d1bae08d2f05a82
Wyoming,WY/US,Lyday & Willson,Wyoming Rosalie Willson & Brayden Lyday,,c83f0f773ef1629f4d8e4576f6ff585305a6bd1993a4f7ba2f36b5f2e084c239
