Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Oklahoma BW,Houston IF,Jack Moore,Aff,"LBallinger																																																												28.7																																																																																								JWright																																																												28.6","AFernandez																																																												28.9																																																																																								OIbarra																																																												28.8"
George Mason BR,Oklahoma DF,Thomas Ku,Neg,"DBell																																																												29.2																																																																																								CRosa-Pérez Montes																																																												29.3","EFulkerson																																																												29.4																																																																																								ADuncan																																																												29.1"
Binghamton BM,New School/Wyoming CL,Nicholas Tilmes,Aff,"LMcLaughlin																																																												28.8																																																																																								DBryen																																																												28.9","RCurran(StJohns)																																																												28.7																																																																																								BLyday																																																												28.5"
Utah BV,MoState DN,Lindsey Shook,Neg,"BVerbeck-O'Brien																																																												28.2																																																																																								JBoscan																																																												28.3","ANeal																																																												28.5																																																																																								LDeAngelis																																																												28.4"
Wake Forest HN,George Mason RS,Kristiana Baez-Gustavson,Aff,"DHale																																																												29.2																																																																																								KNamikas																																																												29.1","BReyes																																																												28.9																																																																																								AShananier																																																												29.0"
Trinity KP,NYU JT,Akif Choudhury,Neg,"RPatterson																																																												28.3																																																																																								BKing																																																												28.0","CTheiding																																																												29.1																																																																																								AJain																																																												29.2"
NYU TT,West Georgia KM,Thomas Buttgereit,Neg,"JTseng																																																												29.3																																																																																								CTravers																																																												29.4","JKennon																																																												29.5																																																																																								BMissell																																																												29.2"
Southwestern AF,Fairmont State AS,Ale Talamantes Martinez,Aff,"VAyekof																																																												29.3																																																																																								PFlores Palacios																																																												29.4","DSimon																																																												29.1																																																																																								RAllen																																																												29.0"
Georgetown GT,NYU/Houston MS,Ec Powers,Neg,"MGreenberg																																																												29.3																																																																																								LTamfu																																																												29.7","SModi																																																												29.5																																																																																								BSheffield																																																												29.4"
Rochester CB,Kansas FS,Amy Williamson,Neg,"ECook																																																												28.7																																																																																								GBarve																																																												28.5","SSharman																																																												28.6																																																																																								AFoust																																																												28.8"
Trinity BK,CSU Long Beach OM,Geoff Lundeen,Neg,"GBarden																																																												28.6																																																																																								MKhalikov																																																												28.7","COrtega																																																												29.7																																																																																								DMedina																																																												29.6"
UT San Antonio PA,Binghamton CK,Jaysyn Green,Neg,"NAlonzo																																																												28.5																																																																																								MPaschall																																																												28.6","JCohn																																																												29.1																																																																																								AKing																																																												29.2"
Towson MR,Wake Forest MS,Jalisa Jackson,Neg,"MMadison																																																												28.7																																																																																								MRamos																																																												28.6","JSampat																																																												29.1																																																																																								MMbye																																																												29.2"
CSU Long Beach EJ,Utah FK,Max Wiessner,Aff,"AEscobar																																																												28.9																																																																																								MJohnson																																																												28.8","AFunai																																																												28.6																																																																																								LKingery																																																												28.7"
George Mason ES,Baylor DL,William Jensen,Neg,"SElsayed																																																												28.5																																																																																								NSanchez																																																												28.4","ODarwish																																																												29.5																																																																																								LLassen																																																												29.7"
Wake Forest PW,Southwestern ArFi,Nahali Tittle,Aff,"CWolfe																																																												29.2																																																																																								VPatel																																																												29.0","JFigueroa																																																												28.8																																																																																								MArciniega																																																												28.7"
George Mason FV,Iowa BL,Scott Harris,Neg,"RFariss																																																												28.8																																																																																								RVardhanapu																																																												28.7","RBilicki																																																												28.9																																																																																								KLarsen																																																												28.6"
