Institution,Location,Entry,Code,Mode,Record
Amherst,MA/US,Lourenco & Opoku,Amherst OL,0,
Baylor,TX/US,Benton & Keeler,Baylor BK,0,
Baylor,TX/US,Darwish & Lassen,Baylor DL,0,
Binghamton,NY/US,Bryen & McLaughlin,Binghamton BM,0,
Binghamton,NY/US,Cohn & King,Binghamton CK,0,
Binghamton,NY/US,Guo & Gakhare,Binghamton GG,0,
Binghamton,NY/US,Ramaswamy & Robinson,Binghamton RR,0,
Binghamton,NY/US,Treulich & Patel,Binghamton TP,0,
Cal State Fullerton,CA/US,Catapang & Dominguez,Cal State Fullerton DC,1,
Cal State Fullerton,CA/US,Martinez & Nworgu,Cal State Fullerton NM,1,
CSU Long Beach,CA/US,Escobar & Johnson,CSU Long Beach EJ,0,
CSU Long Beach,CA/US,Ortega & Medina,CSU Long Beach OM,0,
George Mason,VA/US,Bell & Rosa-Pérez Montes,George Mason BR,0,
George Mason,VA/US,Davis & Esteves,George Mason DE,0,
George Mason,VA/US,Elsayed & Sanchez,George Mason ES,0,
George Mason,VA/US,Fariss & Vardhanapu,George Mason FV,0,
George Mason,VA/US,Neale & Gorman,George Mason NG,0,
George Mason,VA/US,Reyes & Shananier,George Mason RS,0,
George Mason,VA/US,Richter & Taxali,George Mason RT,0,
George Mason,VA/US,Wright & Witkov,George Mason WW,0,
Georgetown,DC/US,Greenberg & Tamfu,Georgetown GT,0,
Harvard,MA/US,Facey & Kundu,Harvard FK,0,
Houston,TX/US,Shehata & Aqeel,Houston AS,0,
Houston,TX/US,Davidson & Nsude,Houston DN,0,
Houston,TX/US,Fernandez & Ibarra,Houston IF,0,
Iowa,IA/US,Parfenoff & Anderson McElligott,Iowa AP,0,
Iowa,IA/US,Bilicki & Larsen,Iowa BL,0,
Iowa,IA/US,Weimar & Eltyeb,Iowa EW,1,
Iowa,IA/US,Kleiman & Severson,Iowa KS,0,
James Madison,VA/US,Matzen & Oehler,James Madison MO,0,
Johnson County Community,KS/US,Chongan & Jallow,Johnson County Community CJ,0,
Kansas,KS/US,Bath & Boyle,Kansas BB,0,
Kansas,KS/US,Foust & Sharman,Kansas FS,0,
Kansas,KS/US,Harker & Schultz,Kansas HS,0,
Kansas,KS/US,Martinez & Hernandez,Kansas MH,0,
Kansas,KS/US,Shaw & Suleman,Kansas SS,0,
Kansas State,KS/US,Sand & Ardis,Kansas State AS,0,
