Institution,Location,Entry,Code,Record,hash
Baylor,TX/US,Benton & Keeler,Baylor BK,,18ed9c867c539ae83f82c3eac3825d5205c71926404150d4cedaa4f3fd3c2280
Baylor,TX/US,Darwish & Lassen,Baylor DL,,eaae095389afa26f0ee420745984a25529c1ab5e6ad2316b6fa4084c811b1fd7
Baylor,TX/US,Phillips & Merriwether,Baylor PM,,ae807ca073378d8059a2e52b85f0b5ebc19980abbd2c2d5f0d13875ed1e1a3d8
Binghamton,NY/US,Cohn & King,Binghamton CK,,1966b54ce3fb7071dd311292cbc15b2a3f2452b18a55efa941f80ee6fca6dc91
Cornell,NY/US,Marcy & Dye,Cornell MD,,f281534b417d65923be6ade1cd66e4426225865af1ecf0fab7e804c3671c6fb9
CSU Long Beach,CA/US,Ortega & Medina,CSU Long Beach OM,,92c6d63cbc9e66aff9dcaa7b54c526c2c9d5f86c876b1ed1ffd3b4986fc11833
Dartmouth,NH/US,Ben-Abdallah & Carpenter,Dartmouth BC,,7194536a4699743c7b7c4d12c07c5f2d79ac112cb9864824dd73bd3be588d555
Dartmouth,NH/US,Brody & Goyal,Dartmouth BG,,e3fbe73190374ad89df06ec18b6945b1e34a0cf49cf41ae4de7ad2898ecd6fab
Dartmouth,NH/US,Cai & Goldberg,Dartmouth CG,,c3b09b39ea0f295007bce36a875d56f7e8bcbddefe36dcf60c96d57b58f9c040
Dartmouth,NH/US,Gonzalez Arce & Hant,Dartmouth GH,,b70571473663e817ec616051bf8b09bef1a3ff55116319a9e4e89a3c6cca2613
Dartmouth,NH/US,Guo & Hatton,Dartmouth GuHa,,5f21100d366495757a2b07a70983ccdd51317837df0e00447ed56aab4da80809
Dartmouth,NH/US,Jones & Rao,Dartmouth JR,,b57f027180262be7e705051b161ab352a4d70a5335634b4e3599a126b32e3ac1
Emory,GA/US,Charabuddi & Ravikumar,Emory CR,,029e341fe47f58b550ea5ca5adc976eb39c91a249b5bffeb4195452202fc01f5
Emory,GA/US,Gallagher & Song,Emory GS,,1ddfdefc74a94c170af702beb9f6936709a81fdad578e7155cd545c88e401b10
Emory,GA/US,Kim & Shirts,Emory KS,,a02d76bf0da07a20b26868e8b28fd197f37ac3dddea2a0004166aa4958fa85d0
