Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Michigan State GL - ONLINE,Southern California DT - ONLINE,Viveth Karthikeyan,Aff,"JGusis																																																												29.3																																																																																								SLewis																																																												29.2","JDollinger																																																												28.7																																																																																								CTurner																																																												28.8"
Emory CG - ONLINE,Iowa EW - ONLINE,Solomon Watson,Neg,"JChen																																																												28.8																																																																																								agranchi																																																												28.9","NWeimar																																																												29.1																																																																																								BEltyeb																																																												29.0"
Wichita State GM - ONLINE,Emory LY - ONLINE,Maeve Ella,Neg,"MMolina Chavez																																																												29.1																																																																																								MGriffith																																																												29.0","CYang																																																												29.3																																																																																								LLobo																																																												29.2"
Michigan State JS - ONLINE,Trinity CK - ONLINE,Nikola Stamenkovic Diez,Aff,"ZJarman																																																												29.1																																																																																								GScully																																																												29.2","LCrowley																																																												28.9																																																																																								MKhalikov																																																												29.0"
Iowa PA - ONLINE,Emory TS - ONLINE,Sophia Dal Pra,Aff,"GParfenoff																																																												29.0																																																																																								SAnderson McElligott																																																												29.2","MStearns																																																												28.8																																																																																								ETai																																																												28.9"
Dartmouth JR - ONLINE,Wake Forest HN - ONLINE,Tommy Jordan,Neg,"SRao																																																												29.2																																																																																								JJones																																																												29.0","DHale																																																												29.3																																																																																								KNamikas																																																												29.1"
Emory CR - ONLINE,Kansas HP - ONLINE,Kwudjwa Osei,Neg,"ARavikumar																																																												28.6																																																																																								VCharabuddi																																																												28.8","BHato																																																												29.1																																																																																								APersinger																																																												29.2"
Liberty CL - ONLINE,Purdue HH - ONLINE,Bennett McGraw,Aff,"JCunningham																																																												29.2																																																																																								ELayton																																																												29.1","RHawksworth																																																												28.9																																																																																								PHansen																																																												28.8"
Emory RY _ ONLINE,Dartmouth GH - ONLINE,Dustin Meyers-Levy,Aff,"SRupp																																																												29.5																																																																																								JYoung																																																												29.4","SGuo																																																												29.2																																																																																								EHatton																																																												29.0"
Navy CR - ONLINE,Michigan State GS - ONLINE,Flynn Makuch,Neg,"ARea																																																												28.5																																																																																								TConnor																																																												28.6","AGearring																																																												29.4																																																																																								HShehzad																																																												29.3"
Emory CS - ONLINE,Stanford LY - ONLINE,Carly Wunderlich,Aff,"TCross																																																												29.1																																																																																								JStumpff																																																												29.0","DLai																																																												29.2																																																																																								FYan																																																												28.9"
George Mason WW - ONLINE,,William Repko,Aff,,
Emory GS - ONLINE,,Michael Scott,Aff,,
Texas GS - ONLINE,Michigan State FM - ONLINE,Spencer Roetlin,Neg,"DStevenson																																																												28.5																																																																																								VGade																																																												28.7","IFoster																																																												28.8																																																																																								HMartin																																																												28.9"
Michigan AO,CSU Long Beach OM,Hunter McCullough,Neg,"ROu																																																												28.9																																																																																								WAgustin																																																												29.0","COrtega																																																												29.5																																																																																								DMedina																																																												29.4"
Kansas SS,Emory KW - ONLINE,Thomas Reese,Aff,"NSuleman																																																												28.9																																																																																								KShaw																																																												29.0","TWang																																																												28.7																																																																																								SKibe																																																												28.5"
Baylor DL,Southern California TM,Corey Fisher,Aff,"ODarwish																																																												29.4																																																																																								LLassen																																																												29.3","JMills																																																												29.1																																																																																								MTroup																																																												29.0"
CSU Long Beach SS - HYBRID,Michigan CS,Kristiana Baez,Neg,"MSaenz																																																												28.8																																																																																								GSmith																																																												28.9","BSaudek																																																												29.1																																																																																								SCho																																																												29.2"
Wyoming CH,Northwestern AT,Brett Bricker,Neg,"JCampbell																																																												29.2																																																																																								JHawley																																																												29.3","BArney																																																												29.1																																																																																								ATahirkheli																																																												29.4"
Kansas BW,Southern California HV - ONLINE,Anthony Trufanov,Aff,"CBrown																																																												28.9																																																																																								HWalawender																																																												29.0","JVega																																																												28.5																																																																																								AHuerto																																																												28.6"
