Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Binghamton CK,Northwestern LR,Joshua Michael,Aff,"JCohn																																																												29.6																																																																																								AKing																																																												29.4","VRubin																																																												29.5																																																																																								MLi																																																												29.3"
Michigan BP,Kansas SL,Spencer Roetlin,Neg,"EBarrett																																																												29.6																																																																																								JPark																																																												29.5","LSchultz																																																												29.7																																																																																								RLarson																																																												29.8"
Michigan State GS - ONLINE,Emory GS - ONLINE,Dustin Meyers-Levy,Neg,"AGearring																																																												29.5																																																																																								HShehzad																																																												29.3","DGallagher																																																												29.7																																																																																								ISong																																																												29.4"
Michigan CS,Georgetown AC,Matt Stannard,Neg,"BSaudek																																																												29.5																																																																																								SCho																																																												29.4","CCowan																																																												29.7																																																																																								AAggarwal																																																												29.6"
Michigan State GL - ONLINE,Kansas UA,Danielle O'Gorman,Aff,"JGusis																																																												29.5																																																																																								SLewis																																																												29.4","CAin																																																												29.0																																																																																								MUlven																																																												29.1"
Iowa EW - ONLINE,Northwestern NP,Jeremy Santora,Neg,"NWeimar																																																												29.1																																																																																								BEltyeb																																																												29.3","MNestor																																																												29.2																																																																																								LPatterson																																																												29.4"
Michigan ES,Kentucky GS,Zahir Shaikh,Aff,"CEsmailzadeh																																																												29.4																																																																																								RShetty																																																												29.3","AGabay																																																												29.2																																																																																								RSlish																																																												29.0"
UC Berkeley RM,CSU Long Beach OM,Bennett McGraw,Neg,"EMenotti																																																												29.5																																																																																								RReichel																																																												29.2","COrtega																																																												29.7																																																																																								DMedina																																																												29.6"
Michigan SS,Iowa PA - ONLINE,Jordan Ramsey,Neg,"CShih																																																												28.9																																																																																								AShah																																																												29.1","GParfenoff																																																												29.4																																																																																								SAnderson McElligott																																																												29.7"
Michigan AO,Wake Forest LW,Irshad Reza Husain,Neg,"ROu																																																												28.4																																																																																								WAgustin																																																												28.8","CWolfe																																																												29.1																																																																																								LLeverett																																																												29.2"
Michigan CC,Stanford LY - ONLINE,Bryce Rao,Neg,"GChamarthy																																																												29.0																																																																																								JChen																																																												28.7","DLai																																																												29.1																																																																																								FYan																																																												28.8"
Southern California RB,Kansas HP - ONLINE,Mikaela Malsin,Neg,"RRahman																																																												29.2																																																																																								ABhadani																																																												29.3","BHato																																																												29.1																																																																																								APersinger																																																												29.4"
George Mason WW - ONLINE,UC Berkeley BU,Viveth Karthikeyan,Aff,"AWright																																																												29.3																																																																																								BWitkov																																																												29.4","MUrfalian																																																												29.1																																																																																								IBoguslavsky																																																												29.2"
Northwestern AT,Kentucky RW,Graham Revare,Aff,"BArney																																																												29.4																																																																																								ATahirkheli																																																												29.2","JRimpson																																																												29.3																																																																																								AWashington																																																												29.1"
Emory CS - ONLINE,Michigan HM - ONLINE,Josiah Ferguson,Aff,"TCross																																																												29.2																																																																																								JStumpff																																																												29.0","CHwang																																																												28.9																																																																																								IMcIlhenny																																																												29.1"
Southern California BM,Kansas SS,Tripp Rebrovick,Neg,"CBradley																																																												28.9																																																																																								SMartin																																																												28.8","NSuleman																																																												29.0																																																																																								KShaw																																																												29.1"
Baylor DL,Iowa SK - ONLINE,Jim Schultz,Aff,"ODarwish																																																												29.1																																																																																								LLassen																																																												29.2","LSeverson																																																												28.8																																																																																								BKleiman																																																												28.9"
Georgia CK,Emory LY - ONLINE,Terrell Taylor,Neg,"EKaidar-Heafetz																																																												29.5																																																																																								IChapman																																																												29.0","CYang																																																												29.6																																																																																								LLobo																																																												29.4"
Emory RY _ ONLINE,Wake Forest DE,Nate Martin,Neg,"SRupp																																																												28.9																																																																																								JYoung																																																												28.8","EElliott																																																												29.1																																																																																								MDingley																																																												28.7"
Dartmouth BC,Kansas OW,Kurt Fifelski,Neg,"SBen-Abdallah																																																												28.9																																																																																								ECarpenter																																																												29.3","ZWillingham																																																												29.5																																																																																								OOwings																																																												29.4"
Wake Forest HN - ONLINE,Kansas BM,Subbi Namakula,Aff,"DHale																																																												29.0																																																																																								KNamikas																																																												29.4","SMcConnell																																																												28.5																																																																																								CBath																																																												29.6"
Wake Forest AB,Michigan AM,Tommy Jordan,Aff,"JBrown																																																												28.3																																																																																								AAderibigbe																																																												28.6","AMoon																																																												28.4																																																																																								AAlmand																																																												28.5"
Michigan State JS - ONLINE,Harvard AB,Adam Symonds,Aff,"ZJarman																																																												28.7																																																																																								GScully																																																												28.8","SAoki																																																												28.5																																																																																								JBodet																																																												28.6"
Southern California DT - ONLINE,Iowa BS - ONLINE,John Turner,Aff,"JDollinger																																																												29.2																																																																																								CTurner																																																												29.1","RBilicki																																																												28.8																																																																																								CSanderson																																																												28.6"
Wyoming CH,Wichita State GM - ONLINE,kenny delph,Neg,"JCampbell																																																												29.2																																																																																								JHawley																																																												29.1","MMolina Chavez																																																												29.3																																																																																								MGriffith																																																												29.4"
Southern California TM,Liberty CL - ONLINE,Joe Schatz,Neg,"JMills																																																												28.9																																																																																								MTroup																																																												29.3","JCunningham																																																												29.4																																																																																								ELayton																																																												29.0"
Wyoming WW,Dartmouth JR - ONLINE,Sophia Dal Pra,Neg,"JWillson																																																												28.7																																																																																								SWidi																																																												28.6","SRao																																																												28.9																																																																																								JJones																																																												29.1"
UTD PR,Dartmouth CG,Dallas Perkins,Aff,"RPenumetcha																																																												29.3																																																																																								SRavi																																																												29.1","NCai																																																												29.2																																																																																								LGoldberg																																																												29.0"
Texas FL,Michigan State FM - ONLINE,Jared Spiers,Aff,"LFeinstein																																																												29.3																																																																																								SLow																																																												29.1","IFoster																																																												29.0																																																																																								HMartin																																																												29.2"
Navy CR - ONLINE,Trinity CK - ONLINE,Deven Cooper,Neg,"ARea																																																												29.0																																																																																								TConnor																																																												29.1","LCrowley																																																												29.2																																																																																								MKhalikov																																																												29.4"
UTD HH,Georgetown TP,Jack Moore,Neg,"AHumphrey																																																												28.7																																																																																								IHoch																																																												28.8","NPerez-Rubio																																																												29.0																																																																																								LTamfu																																																												28.9"
Northwestern LL,Purdue HH - ONLINE,Kevin McCaffrey,Aff,"ALundberg																																																												29.0																																																																																								SLeonard																																																												29.1","RHawksworth																																																												28.7																																																																																								PHansen																																																												28.8"
Georgetown LN,Kansas BW,Hunter McCullough,Neg,"LLastelick																																																												28.9																																																																																								ANanji																																																												29.0","CBrown																																																												29.1																																																																																								HWalawender																																																												29.2"
UTD DD,CSU Long Beach SS - HYBRID,Taylor Brough,Aff,"JD'Antuono																																																												28.6																																																																																								JDickey																																																												28.7","MSaenz																																																												28.4																																																																																								GSmith																																																												28.5"
Trinity KP,UC Berkeley GS,Ari Davidson,Neg,"RPatterson																																																												28.7																																																																																								BKing																																																												28.9","ASitu																																																												28.4																																																																																								DGilrain-Lennon																																																												29.0"
Minnesota HU,Northwestern AH,Manny Navarrete,Aff,"TUsenov																																																												28.9																																																																																								BHaber-Fawcett																																																												28.7","BHines																																																												28.8																																																																																								AArceo																																																												28.6"
Texas GS - ONLINE,Northwestern LW,Kristiana Baez,Neg,"DStevenson																																																												28.9																																																																																								VGade																																																												28.8","MLee																																																												29.1																																																																																								SWeisz																																																												29.0"
Gonzaga WR,Emory KW - ONLINE,Kwudjwa Osei,Aff,"KWellman																																																												28.7																																																																																								ERoe																																																												28.6","TWang																																																												28.5																																																																																								SKibe																																																												28.4"
Emory TS - ONLINE,Arizona State SS,Ralph Anderson,Neg,"MStearns																																																												28.7																																																																																								ETai																																																												28.8","ASmith																																																												29.0																																																																																								ASaxena																																																												29.1"
Emory CR - ONLINE,Harvard/Amherst SL,Justin Green,Aff,"ARavikumar																																																												28.9																																																																																								VCharabuddi																																																												28.8","ALourenco																																																												28.7																																																																																								MSynn																																																												29.0"
Northwestern HP,Emory CG - ONLINE,David Rooney,Neg,"NPeltier																																																												28.6																																																																																								NHeftman																																																												28.5","JChen																																																												28.0																																																																																								agranchi																																																												28.7"
