Institution,Location,Entry,Code,Mode,Record,hash
Arizona State,AZ/US,Saxena & Smith,Arizona State SS,0,,341ca8cf5b4d80eb21c882fed989ee839ad2294a4bd3a5d43e79e64089161975
Baylor,TX/US,Darwish & Lassen,Baylor DL,0,,eaae095389afa26f0ee420745984a25529c1ab5e6ad2316b6fa4084c811b1fd7
Binghamton,NY/US,Cohn & King,Binghamton CK,0,,1966b54ce3fb7071dd311292cbc15b2a3f2452b18a55efa941f80ee6fca6dc91
CSU Long Beach,CA/US,Medina & Ortega,CSU Long Beach OM,0,,92c6d63cbc9e66aff9dcaa7b54c526c2c9d5f86c876b1ed1ffd3b4986fc11833
CSU Long Beach,CA/US,Saenz & Smith,CSU Long Beach SS - HYBRID,1,,d4a8d13334fc34a539a1eb027658040bb303ed59adfec0d4d3dd2f5a18f5b364
Dartmouth,NH/US,Ben-Abdallah & Carpenter,Dartmouth BC,0,,7194536a4699743c7b7c4d12c07c5f2d79ac112cb9864824dd73bd3be588d555
Dartmouth,NH/US,Cai & Goldberg,Dartmouth CG,0,,c3b09b39ea0f295007bce36a875d56f7e8bcbddefe36dcf60c96d57b58f9c040
Dartmouth,NH/US,Jones & Rao,Dartmouth JR - ONLINE,1,,b57f027180262be7e705051b161ab352a4d70a5335634b4e3599a126b32e3ac1
Emory,GA/US,Chen & granchi,Emory CG - ONLINE,1,,f78699ebcd56162bbbf61e51b369028f6763c90960caa9cc6cd90430ecc46bbe
Emory,GA/US,Charabuddi & Ravikumar,Emory CR - ONLINE,1,,029e341fe47f58b550ea5ca5adc976eb39c91a249b5bffeb4195452202fc01f5
Emory,GA/US,Cross & Stumpff,Emory CS - ONLINE,1,,65d06ebe773a45e74142aa8c7a3bdbe872391b664e2ad8279e3494779720409a
Emory,GA/US,Gallagher & Song,Emory GS - ONLINE,1,,1ddfdefc74a94c170af702beb9f6936709a81fdad578e7155cd545c88e401b10
Emory,GA/US,Kibe & Wang,Emory KW - ONLINE,1,,9642687342e855149c26a393a4364425c304fda417f9b67fb68b0e3d7819f345
Emory,GA/US,Lobo & Yang,Emory LY - ONLINE,1,,847f24a888a76f17f73711d8afb95a4dae962578f90b12abf367331769553709
Emory,GA/US,Rupp & Young,Emory RY _ ONLINE,1,,f6bae466b8e97b5fea19efc5c95e232ee95ddaf640b37e2e974820fd906069bd
