Institution,Location,Entry,Code,Mode,Record,hash
Binghamton,NY/US,Bryen & Harshbarger,Binghamton BH,0,,182951ca7657beedbcd71df211d393ec7d20dce00852d257ecbc4ce06368139a
Binghamton,NY/US,Gakhare & Guo,Binghamton GG,0,,25ee6d097b42aa2138efda59d6a33fd2a938a25665e03233c1161dacfab86fe9
Binghamton,NY/US,Ramaswamy & Robinson,Binghamton RR,0,,5f92975108ac63cb31a5744a62f3c5dff282ecd5d03ea85a7e91072ee0847e05
Houston,TX/US,Macasaet & Shehata,Houston MS,1,,e70054317a33dd8dae4eebd456d4952a008afdf5daea90dec0a3aa438f388266
Liberty,VA/US,Etienne & Yoon,Liberty EY,0,,2e5d053bb5eca09b3667f140d3c245a58124a41cf72a4f933f4f50ed24bf0df2
Liberty,VA/US,Koenig & Tooley,Liberty KT,0,,0589c2b24f76e1549381aab208ccf42b4cade987737f1c30228daba6a73c654d
Liberty,VA/US,Soares & Spencer,Liberty SS,0,,6b4a3eba752977e6422125dc6346b61f977b040741ff6c44af0094ef3918f364
Louisville,KY/US,Naidugari & Stevenson,Louisville SN,0,,cfa428504a94a5590c4dd3df17740c707c7682bcc50987a7f1bd089baac3d909
Louisville,KY/US,Johnson & Van Dyke,Louisville VJ,0,,5f83a958740a23e9a788671eb3cd15acad6547ca991e4904024519d688276be5
New School,NY/US,Team New School,New School/Liberty CJ,0,,00c82e29fea2bd03ed072f5fad6b09a32cb4ca7caeef1d28311547559695a772
NYU,NY/US,Khade & Khalif,NYU KK,0,,d45c26648c4e3aa6a0ffc6c75611df559962e80e858863a67d2ecde95aa398e4
NYU,NY/US,Modi & Sheffield,NYU/Houston MS,0,,4bff47c6e7567c6308dd6414c1b0907c60ec54cb0c62166a579866c7413f8791
Rochester,NY/US,Jones & Mbaye,Rochester MJ,0,,38edbca50b28ab1d6efc37ca0ef2b0a2511134b56bb21ac3a0a99845a8c9ee5c
Towson,MD/US,Darden & Persaud,Towson DP,0,,d25a4a123b84a5475d4c52923463777de811aac6c861122802d7cff67c4d4839
West Point,NY/US,Anteen & Rowe,West Point AR,0,,9c54eb06f6126faeaa01c0bbccd99751c4304ab9476d8ceac8625a1d61bc2284
West Point,NY/US,Freeman & Gerber,West Point FG,0,,c1cf7db30d488139aca7e753c26456c5aff229de33fe84999816bff6dbb4965b
West Point,NY/US,Kang & Little,West Point KL,0,,06b19c21a0cd2ee1b1f44e2dda61e4d926b12152c923d85a728b64160b6ea817
West Point,NY/US,MacDonnell & Peffers,West Point MP,0,,66ec16d53573269405ea95d29248ea7b4944a6d53c6d352926a0bbd3b40bcb81
