Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Indiana Duggal & Jones,West Georgia Kennon & Missell,Nikola Stamenkovic Diez,Aff,"JDuggal																																																												28.7																																																																																								LJones																																																												29.0","JKennon																																																												28.8																																																																																								BMissell																																																												28.6"
Michigan Agustin & Ou,Indiana Fish & Truemper,Sophia Dal Pra,Aff,"ROu																																																												29.3																																																																																								WAgustin																																																												29.2","ZFish																																																												28.9																																																																																								MTruemper																																																												28.7"
Missouri State Neal & Neal,Oklahoma Duncan & Fulkerson,Hunter McCullough,Aff,"NNeal																																																												28.8																																																																																								ANeal																																																												28.7","EFulkerson																																																												28.6																																																																																								ADuncan																																																												28.4"
Oklahoma Ballinger & Wright,Wyoming Pierson & Hedrick,Peyton Reeves,Aff,"LBallinger																																																												29.2																																																																																								JWright																																																												28.9","AHedrick																																																												28.5																																																																																								APierson																																																												28.7"
Dartmouth Gonzalez Arce & Hant,Purdue Hawksworth & Hansen,Aryan Jasani,Neg,"AHant																																																												28.7																																																																																								JGonzalez Arce																																																												28.6","RHawksworth																																																												28.8																																																																																								PHansen																																																												28.9"
Northwestern LippSmith & Olorunsola,Western Kentucky Carter & Kumar,Christopher Jackson,Neg,"TOlorunsola																																																												28.9																																																																																								FLippSmith																																																												28.8","SCarter																																																												29.2																																																																																								VKumar																																																												29.0"
Missouri State Bates & DeAngelis,Oklahoma bustos & Werner,Justin Kirk,Neg,"ABates																																																												28.3																																																																																								LDeAngelis																																																												28.5","FWerner																																																												28.7																																																																																								ybustos																																																												28.4"
North Texas Paruchuri & Sharp,Missouri State Cooper & Hahn,Matt Conway,Aff,"NSharp																																																												28.6																																																																																								SParuchuri																																																												28.8","QCooper																																																												28.7																																																																																								SHahn																																																												28.5"
Kentucky Ervin & Rushing,Northwestern Arceo & Kung,Subbi Namakula,Neg,"WErvin																																																												29.3																																																																																								JRushing																																																												28.5","AArceo																																																												29.4																																																																																								GKung																																																												29.5"
Northwestern Lee & Weisz,Western Kentucky Ney & Fournier,John Turner,Neg,"MLee																																																												28.7																																																																																								SWeisz																																																												28.8","RFournier																																																												29.2																																																																																								RNey																																																												29.1"
,Wyoming Widi & Willson,,Wyoming Widi & Willson advances,Wyoming Widi & Willson advances,
