Institution,Location,Entry,Code,Mode,Record,hash
Dartmouth,NH/US,Gonzalez Arce & Hant,Dartmouth Gonzalez Arce & Hant,1,,b70571473663e817ec616051bf8b09bef1a3ff55116319a9e4e89a3c6cca2613
Indiana,IN/US,Duggal & Jones,Indiana Duggal & Jones,1,,c4d15daf4fcd02e52fc45d6bd744a0bb0b814130f3d577fdfdb8113fc8f4fe1d
Indiana,IN/US,Fish & Truemper,Indiana Fish & Truemper,1,,523398fee3c47263deb3c956dd05b15d650c3df156b872a84ed45ddb06345cf1
Kentucky,KY/US,Ervin & Rushing,Kentucky Ervin & Rushing,1,,b0758820a4446e591dd02f2ef4343b8a601118ead6ce43bafc43d1e027ed6615
Michigan,MI/US,Agustin & Ou,Michigan Agustin & Ou,1,,9f8fd3f756e41c3393a18840f8cb3a529dc844a1bb7cfe79e8730152c2b746db
Missouri State,MO/US,Bates & DeAngelis,Missouri State Bates & DeAngelis,1,,7e490f020fe6f941bcb6ec87b2c8cfd3d8e629df255d95549323df845ff7f46f
Missouri State,MO/US,Cooper & Hahn,Missouri State Cooper & Hahn,1,,6b90811d62359e16de8b77548ea99a5c56af056cf3fe4c27befa91d0610355e2
Missouri State,MO/US,Neal & Neal,Missouri State Neal & Neal,1,,1d7733c8bcc8857868de0b2499c226d197c2f24f7d0db7b87d7a8002b2487218
North Texas,TX/US,Bowman & Vargas,North Texas bowman & Vargas,1,,f10df5280cda97778a4d247f7de57b1396f957fca3b37438509687478f3ef9f0
North Texas,TX/US,Paruchuri & Sharp,North Texas Paruchuri & Sharp,1,,8e4ce1255a2ff6bd6dd65b775f904520faedf12b06189c276f7131cbf468654d
Northwestern,IL/US,Arceo & Kung,Northwestern Arceo & Kung,1,,150ded02955f9b40484e66054e60701f7436a72056ae9accc5bb6bd65bc2fb21
Northwestern,IL/US,Lee & Weisz,Northwestern Lee & Weisz,1,,93aeb73a4586475755fc80396f1ebcb19a56fe83d76f10f44eb42abd49a971d6
Northwestern,IL/US,LippSmith & Olorunsola,Northwestern LippSmith & Olorunsola,1,,882d5afd232e8fe818c7570512d89f1210246896b0d37b8464d2d5e2f6c34161
Oklahoma,OK/US,Ballinger & Wright,Oklahoma Ballinger & Wright,1,,e018bbf0979d4a9289ff429311f125dd0c6d9aa26c7366dd146d00d7d52412e9
Oklahoma,OK/US,Bustos & Werner,Oklahoma bustos & Werner,1,,c17fe10df62b32bec8008ab2bcbe41ca3062c9174a1b50df952966c1c9db12fa
Oklahoma,OK/US,Duncan & Fulkerson,Oklahoma Duncan & Fulkerson,1,,1174c4fd8ff0e975a404abe620c57181f88ace54fc66e4220108bb0021a5ac17
Purdue,IN/US,Hansen & Hawksworth,Purdue Hawksworth & Hansen,1,,2baf391ec20b63e486f9f2a69d28b5ed0e32dd0a31576aee17cd84f53c463a0c
West Georgia,GA/US,Kennon & Missell,West Georgia Kennon & Missell,1,,4baf69e0fcb65aa6ec6951ea6b1bfd905a27131c5b4a26c52306a6553ac66c45
Western Kentucky,KY/US,Carter & Kumar,Western Kentucky Carter & Kumar,1,,da01914488816692dab29707fb796f76b2faffe8a396c1ada0e8966bdeab666c
Western Kentucky,KY/US,Fournier & Ney,Western Kentucky Ney & Fournier,1,,848e21a480a904f1e85873386cd999741837b6dfa6132755378104ba8c4a7e63
Wyoming,WY/US,Hedrick & Pierson,Wyoming Pierson & Hedrick,1,,dd66316a10dd43d897c10934990e289bc8017242ac123c220540c0319b140a9f
Wyoming,WY/US,Widi & Willson,Wyoming Widi & Willson,1,,1d8b8e25c69135d32ac3a5ffe9b720d36ca326a5ba5b57447d1bae08d2f05a82
