Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Western Kentucky SS,Georgia CL,William Repko,Aff,"NSchintgen																																																												29.0																																																																																								JStPeter																																																												28.9","CLackey																																																												28.6																																																																																								IChapman																																																												28.8"
Wake Forest MP,Georgia CP,Eric Lanning,Neg,"MMbye																																																												28.4																																																																																								RPeters																																																												28.5","LPack																																																												28.7																																																																																								ZCannon																																																												28.3"
Wyoming WW,Wake Forest HN,Ryan Magalhaes,Aff,"JWillson																																																												29.5																																																																																								SWidi																																																												29.0","DHale																																																												28.5																																																																																								KNamikas																																																												28.0"
Minnesota MW,Kansas State SA,Jason Regnier,Aff,"TMunson																																																												28.7																																																																																								KWells																																																												28.5","CSand																																																												28.6																																																																																								LArdis																																																												28.4"
Dartmouth LF,Iowa KL,Tanya Prabhakar,Neg,"RFlorence-Smith																																																												28.7																																																																																								LLi																																																												28.6","BKleiman																																																												29.1																																																																																								KLarsen																																																												29.2"
Oklahoma BS,Emory ST,Josh Lamet,Neg,"BSmith																																																												29.3																																																																																								LBallinger																																																												29.5","MStearns																																																												29.6																																																																																								ETai																																																												29.4"
Missouri State LD,Gonzaga RW,David Sposito,Neg,"SLay																																																												28.6																																																																																								LDeAngelis																																																												28.5","KWellman																																																												28.8																																																																																								ERoe																																																												28.7"
Northwestern AK,Emory CS,Bobby Phillips,Neg,"AArceo																																																												28.8																																																																																								GKung																																																												28.9","JShirts																																																												29.1																																																																																								TCross																																																												29.2"
Michigan GJ,Minnesota HU,Kevin McCaffrey,Neg,"AGarvey																																																												28.4																																																																																								JJoyce																																																												28.6","TUsenov																																																												28.7																																																																																								BHaber-Fawcett																																																												28.9"
Kansas JB,Michigan State FM,Geoff Lundeen,Neg,"NBoyle																																																												28.8																																																																																								AJune																																																												28.9","IFoster																																																												29.0																																																																																								HMartin																																																												29.2"
Western Kentucky CF,Wake Forest LW,Kwudjwa Osei,Neg,"SCarter																																																												29.1																																																																																								RFournier																																																												29.0","CWolfe																																																												29.2																																																																																								LLeverett																																																												29.3"
Minnesota HK,Missouri State NS,Johnnie Stupek,Neg,"JHerzer																																																												28.7																																																																																								VKathner																																																												28.5","NNeal																																																												28.8																																																																																								ESiever																																																												28.6"
Southern California RW,Cal State Fullerton DC,Ryan Wash,Neg,"SRueda																																																												28.8																																																																																								MWong																																																												28.7","SCatapang																																																												29.0																																																																																								IDominguez																																																												28.9"
Michigan State JS,Western Kentucky NK,Shreyas Rajagopal,Aff,"ZJarman																																																												29.2																																																																																								GScully																																																												29.5","RNey																																																												29.1																																																																																								VKumar																																																												29.3"
Michigan AO,Kansas FV,Aaron Fernando,Aff,"ROu																																																												28.6																																																																																								WAgustin																																																												28.8","AVerma																																																												28.5																																																																																								AFordyce																																																												28.7"
Navy LS,Wichita State MG,Mikaela Malsin,Neg,"JLawrence																																																												28.7																																																																																								GSatterfield																																																												28.6","MMolina Chavez																																																												29.0																																																																																								MGriffith																																																												29.1"
Cal State Fullerton MN,Emory AS,Salma Waheed,Neg,"DMartinez																																																												28.5																																																																																								ONworgu																																																												28.0","SAggarwal																																																												29.0																																																																																								JStumpff																																																												29.5"
Northwestern LW,Dartmouth JK,Blake Andrews,Aff,"MLee																																																												29.0																																																																																								SWeisz																																																												29.1","TKirkpatrick																																																												28.2																																																																																								SJohnson																																																												28.0"
Arizona State SS,Missouri State CN,John Turner,Aff,"ASmith																																																												28.9																																																																																								ASaxena																																																												28.6","GCowdrey-Mota																																																												28.7																																																																																								ANeal																																																												28.8"
Kentucky RS,Texas AandM University - College Station SL,Justin Kirk,Aff,"HSchedler																																																												29.0																																																																																								JRushing																																																												28.7","KLangford																																																												28.5																																																																																								TSanchez																																																												28.6"
Kentucky RW,Kansas BT,Subbi Namakula,Aff,"JRimpson																																																												29.8																																																																																								AWashington																																																												29.9","JTerreros																																																												30.0																																																																																								CBlaser																																																												29.5"
Indiana TF,Wake Forest SW,Eric Maag,Neg,"ZFish																																																												28.8																																																																																								MTruemper																																																												28.4","JSampat																																																												29.2																																																																																								SWilliams																																																												29.0"
Michigan BL,Wake Forest AB,David Rooney,Neg,"MBaba																																																												28.4																																																																																								GLedesma																																																												28.3","JBrown																																																												28.6																																																																																								AAderibigbe																																																												28.5"
Macalester HW,Emory RC,Jacob Wilkus,Aff,"IHarrison																																																												28.8																																																																																								NWinters																																																												29.1","ARavikumar																																																												28.9																																																																																								VCharabuddi																																																												29.0"
Emory WY,Texas AandM University - College Station BC,,"Aff FFT																									Neg BYE","Aff FFT																									Neg BYE","CYang																																																												1.0																																																																																								TWang																																																												28.8"
