Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Dartmouth LF,Indiana TF,Nick J. Sciullo,Neg,"RFlorence-Smith																																																												28.0																																																																																								LLi																																																												27.9","ZFish																																																												28.4																																																																																								MTruemper																																																												28.3"
Kentucky RW,Michigan State JS,Derek Hilligoss,Neg,"JRimpson																																																												29.6																																																																																								AWashington																																																												29.4","ZJarman																																																												29.8																																																																																								GScully																																																												29.7"
Minnesota HU,Kansas BT,Jordan Di,Neg,"TUsenov																																																												28.8																																																																																								BHaber-Fawcett																																																												28.9","JTerreros																																																												29.1																																																																																								CBlaser																																																												29.4"
Dartmouth JK,Iowa KL,Chris Loghry,Neg,"TKirkpatrick																																																												29.0																																																																																								SJohnson																																																												29.1","BKleiman																																																												29.3																																																																																								KLarsen																																																												29.2"
Missouri State CN,Georgia CP,Jacob Wilkus,Neg,"GCowdrey-Mota																																																												28.6																																																																																								ANeal																																																												28.7","LPack																																																												28.9																																																																																								ZCannon																																																												28.8"
Wake Forest HN,Cal State Fullerton DC,Kaine Cherry,Aff,"DHale																																																												29.3																																																																																								KNamikas																																																												29.2","SCatapang																																																												28.7																																																																																								IDominguez																																																												28.6"
Emory AS,Missouri State NS,David Sposito,Aff,"SAggarwal																																																												28.7																																																																																								JStumpff																																																												28.8","NNeal																																																												29.0																																																																																								ESiever																																																												29.1"
Kansas FV,Texas AandM University - College Station SL,Dimarvin Puerto,Aff,"AVerma																																																												28.6																																																																																								AFordyce																																																												28.7","KLangford																																																												28.4																																																																																								TSanchez																																																												28.5"
Wichita State MG,Arizona State SS,Terrell Taylor,Aff,"MMolina Chavez																																																												28.9																																																																																								MGriffith																																																												29.0","ASmith																																																												28.0																																																																																								ASaxena																																																												28.3"
Emory RC,Kentucky RS,Kevin McCaffrey,Aff,"ARavikumar																																																												29.2																																																																																								VCharabuddi																																																												29.1","HSchedler																																																												28.9																																																																																								JRushing																																																												28.8"
Kansas State SA,Georgia CL,Flynn Makuch,Neg,"CSand																																																												28.7																																																																																								LArdis																																																												28.6","CLackey																																																												28.5																																																																																								IChapman																																																												26.0"
Emory CS,Western Kentucky SS,Lauren McBlain,Aff,"JShirts																																																												29.0																																																																																								TCross																																																												28.6","NSchintgen																																																												28.8																																																																																								JStPeter																																																												28.7"
Wake Forest LW,Macalester HW,David Rooney,Aff,"CWolfe																																																												29.4																																																																																								LLeverett																																																												29.3","IHarrison																																																												28.6																																																																																								NWinters																																																												29.0"
Northwestern LW,Michigan GJ,Manny Navarrete,Aff,"MLee																																																												28.9																																																																																								SWeisz																																																												28.7","AGarvey																																																												28.6																																																																																								JJoyce																																																												28.8"
Cal State Fullerton MN,Oklahoma BS,Ryan Wash,Neg,"DMartinez																																																												29.1																																																																																								ONworgu																																																												29.2","BSmith																																																												28.9																																																																																								LBallinger																																																												29.0"
Michigan BL,Navy LS,Sophia Dal Pra,Aff,"MBaba																																																												29.1																																																																																								GLedesma																																																												28.7","JLawrence																																																												29.2																																																																																								GSatterfield																																																												28.8"
Michigan AO,Gonzaga RW,Grace McManus,Aff,"ROu																																																												29.2																																																																																								WAgustin																																																												29.0","KWellman																																																												29.1																																																																																								ERoe																																																												28.8"
Kansas JB,Wake Forest AB,Kwudjwa Osei,Neg,"NBoyle																																																												28.6																																																																																								AJune																																																												28.8","JBrown																																																												28.9																																																																																								AAderibigbe																																																												28.7"
Wyoming WW,Western Kentucky NK,Peyton Reeves,Neg,"JWillson																																																												29.2																																																																																								SWidi																																																												28.3","RNey																																																												28.7																																																																																								VKumar																																																												28.9"
Missouri State LD,Wake Forest MP,Anekah Fish,Neg,"SLay																																																												27.7																																																																																								LDeAngelis																																																												27.8","MMbye																																																												28.0																																																																																								RPeters																																																												27.9"
Emory ST,Michigan State FM,Matthew Granstrom,Neg,"MStearns																																																												29.2																																																																																								ETai																																																												29.0","IFoster																																																												29.3																																																																																								HMartin																																																												29.1"
Minnesota HK,Wake Forest SW,Anna Stockstill,Neg,"JHerzer																																																												28.6																																																																																								VKathner																																																												28.5","JSampat																																																												28.7																																																																																								SWilliams																																																												28.8"
Texas AandM University - College Station BC,Northwestern AK,David Griffith,Neg,"ABirkby																																																												28.6																																																																																								ECruz																																																												28.7","AArceo																																																												29.2																																																																																								GKung																																																												29.1"
Western Kentucky CF,Minnesota MW,John Turner,Aff,"SCarter																																																												29.1																																																																																								RFournier																																																												29.2","TMunson																																																												28.9																																																																																								KWells																																																												28.8"
