Institution,Location,Entry,Code,Status,Record,hash
Arizona State,AZ/US,Smith & Saxena,Arizona State SS,,,341ca8cf5b4d80eb21c882fed989ee839ad2294a4bd3a5d43e79e64089161975
Cal State Fullerton,CA/US,Catapang & Dominguez,Cal State Fullerton DC,,,97e6299b14d2c78e026ffb462a787850dbc7affe405e865ed2a4e30ba2a653e4
Cal State Fullerton,CA/US,Martinez & Nworgu,Cal State Fullerton MN,,,1092d38b0d3d619bab8da4ad50b5707b01b7f620a24a580c0fafc3d043458329
Dartmouth,NH/US,Kirkpatrick & Johnson,Dartmouth JK,,,51372940394b6c3ed63993f90a41afa6459113e050d0bf149398baef29e3b836
Dartmouth,NH/US,Florence-Smith & Li,Dartmouth LF,,,fbeb02da8457b190401b25f8f13ccc9fcbd6722f3fd16c6fde7a744382941f9f
Emory,GA/US,Aggarwal & Stumpff,Emory AS,,,fc53d7931ee8d00ec9f4be9c4f71eb0478342910085395890e33e9b57817299e
Emory,GA/US,Shirts & Cross,Emory CS,,,5f0473eacc0fcf6657f165e2fc3f20a822b970335553597919356822b9cb5eac
Emory,GA/US,Ravikumar & Charabuddi,Emory RC,,,029e341fe47f58b550ea5ca5adc976eb39c91a249b5bffeb4195452202fc01f5
Emory,GA/US,Stearns & Tai,Emory ST,,,cc8e92a08a59fd831ef422e561aa4cb0228ad5e772beeefdcfafb1961ad91034
Emory,GA/US,Wang & Yang,Emory WY,,,9a14354263e70c2c69ba6646b83e126751c35553efb417cacaf856699001fef3
Georgia,GA/US,Lackey & Chapman,Georgia CL,,,1f7c0af35cfce9a858dc2c781605e3f6c70a5f2845040b34dda48c5c0e0e7ad8
Georgia,GA/US,Pack & Cannon,Georgia CP,,,a859963999d97266a763f3801281bc5cd3cc18941449ed0330ca369fc6ea13d8
Gonzaga,WA/US,Wellman & Roe,Gonzaga RW,,,4689d9df5f744a8b066aa9d013bd7103dff67eaa4c4525677872ebed8415cbe5
Indiana,IN/US,Truemper & Fish,Indiana TF,,,523398fee3c47263deb3c956dd05b15d650c3df156b872a84ed45ddb06345cf1
Iowa,IA/US,Kleiman & Larsen,Iowa KL,,,a5bd84c3a617cf79243362942642388857efed2dbe3b767aab6ab159de1bd93b
Kansas,KS/US,Terreros & Blaser,Kansas BT,,,c30796707b239ee248a2b4d91a12e69e51f372d27b15e46793ef816c0973491c
Kansas,KS/US,Verma & Fordyce,Kansas FV,,,15123c2035acabae6d7c05c96cefec34d09d6dcd27d6e2caece6c69472599453
Kansas,KS/US,Boyle & June,Kansas JB,,,93e278c1462d45fce8446271f4c3c2d44bf9604b176c6894cf7dc32e241334c4
Kansas State,KS/US,Sand & Ardis,Kansas State SA,,,34ce1cc0604541fd1daccbe6ee4a4c761124c986ef5910175ae2a511991dcc4a
Kentucky,KY/US,Rushing & Schedler,Kentucky RS,,,657b8a744b40458b794c3608f24db59d0df7815953068b53827b075872811f03
Kentucky,KY/US,Rimpson & Washington,Kentucky RW,,,dfa59c4df2925a307800adf1be98f8789db1f6f89d6e673ac85a328c974ad906
Macalester,MN/US,Harrison & Winters,Macalester HW,,,0b289491ad764e85a8ba962fd36cb3f31c8359609b44629239986cef2bb05f6e
Michigan,MI/US,Ou & Agustin,Michigan AO,,,9f8fd3f756e41c3393a18840f8cb3a529dc844a1bb7cfe79e8730152c2b746db
Michigan,MI/US,Baba & Ledesma,Michigan BL,,,74c80599c6f6a69dbba28bdd20593c7e595eb913a769995542c2a61ad7080467
Michigan,MI/US,Garvey & Joyce,Michigan GJ,,,4239993ab95cbe35495d9e80a5d4eeebd7bda0ca9cef2d3f8702d2e69285159e
Michigan State,MI/US,Foster & Martin,Michigan State FM,,,37ccc3e7fc9d42c2164c1379029e0bb36fa7b55bd74fb3ff6cbb6d2e7d7a4d2f
Michigan State,MI/US,Jarman & Scully,Michigan State JS,,,02a4ea2b028c1fb1101ab3d506e2d182369c5fc3f04949e266b263c6bf379dcc
Minnesota,MN/US,Herzer & Kathner,Minnesota HK,,,6ae70c451494013accae305a48083a1b4c3b9618f6894bfddff35d4bcc25c976
Minnesota,MN/US,Usenov & Haber-Fawcett,Minnesota HU,,,ae6c4a012c02617224f5be72ba5d62cd04d9e687f4e12be174ec78cf4af12fd6
Minnesota,MN/US,Munson & Wells,Minnesota MW,,,cdf26bd78e68f545fedef5b469fcf47504a20c7d4df633ff38ecc336697bd1af
Missouri State,MO/US,Cowdrey-Mota & Neal,Missouri State CN,,,f1583a6e185d63e9da3088e470b53309cc82a888383a33ad393eb51d243475e4
Missouri State,MO/US,Lay & DeAngelis,Missouri State LD,,,9c3837afd60dd7930f7247d915aa9dc74e90a56137b378394478f5f2c01c3500
Missouri State,MO/US,Neal & Siever,Missouri State NS,,,b5078863f0e8b2eaa6e6769278510ef60a03817686f7071b5da85657d221f087
Navy,MD/US,Lawrence & Satterfield,Navy LS,,,c919581e493d7fea0a1842a282ff640d601404368540af72487efdfa8958f798
Northwestern,IL/US,Arceo & Kung,Northwestern AK,,,150ded02955f9b40484e66054e60701f7436a72056ae9accc5bb6bd65bc2fb21
Northwestern,IL/US,Lee & Weisz,Northwestern LW,,,93aeb73a4586475755fc80396f1ebcb19a56fe83d76f10f44eb42abd49a971d6
Oklahoma,OK/US,Smith & Ballinger,Oklahoma BS,,,1e6e9c1ee91e4fd276c4ffa95aad1dad7f7705b9cacba7c190adf78f4f0c5622
Southern California,CA/US,Rueda & Wong,Southern California RW,,,f9ebcca05289c43f505dc66431fe1053b8398235065b490dc96e597963808746
Texas AandM University - College Station,TX/US,Birkby & Cruz,Texas AandM University - College Station BC,,,b3d87227816a2904b9b9b87bec672a44f2a19ff1b9c6766003cbd172bdd87d7a
Texas AandM University - College Station,TX/US,Langford & Sanchez,Texas AandM University - College Station SL,,,899d442f759130559f219a9f80cd1c15e3e4532e1346f3cff92c44364e7d91a8
Wake Forest,NC/US,Brown & Aderibigbe,Wake Forest AB,,,b0ab007f9e9dfc0e0f486ed8b73072c25cfc5eefeadb36816cd7a995f1ad39ad
Wake Forest,NC/US,Hale & Namikas,Wake Forest HN,,,70c31a627e475b5abc94e67355295b2cab92c3e908c64e03694b3e99e38db5aa
Wake Forest,NC/US,Wolfe & Leverett,Wake Forest LW,,,1ad4b2d818847744cfe715d122c3d2afc0599b4609da49e3ffdadc920ca6f3bb
Wake Forest,NC/US,Mbye & Peters,Wake Forest MP,,,bab2d8bf33ae0a4afb8069a3f05d3364066f57f4098943eb31b5f863edd72b39
Wake Forest,NC/US,Sampat & Williams,Wake Forest SW,,,2c86f862ad4a3633c03da53328ebdf29bf1467136cf991446b0ed3e97e490a47
Western Kentucky,KY/US,Carter & Fournier,Western Kentucky CF,,,fa61c4a437bd4cd5cceb1ba9743c90b2e2f361e3b17531816ce8d9dbebe49402
Western Kentucky,KY/US,Ney & Kumar,Western Kentucky NK,,,686cf02f82ed2b96cacb723f2eb9f75f92dd197137c572aa54c7cbf425eaf444
Western Kentucky,KY/US,Schintgen & StPeter,Western Kentucky SS,,,adf0b4505edd96a0d88e2898c061f63062cea30a904a4a50dfc430c4effa17cc
Wichita State,KS/US,Molina Chavez & Griffith,Wichita State MG,,,643a2f4d0b299a596023a7002aa0f02c0bbbb265887c9b180b6c8530ed9e32c0
Wyoming,WY/US,Willson & Widi,Wyoming WW,,,1d8b8e25c69135d32ac3a5ffe9b720d36ca326a5ba5b57447d1bae08d2f05a82
