Institution,Location,Entry,Code,Mode,Status,Record,hash
Baylor,TX/US,Benton & Keeler,Baylor BK,0,,,18ed9c867c539ae83f82c3eac3825d5205c71926404150d4cedaa4f3fd3c2280
Baylor,TX/US,Darwish & Lassen,Baylor DL,0,,,eaae095389afa26f0ee420745984a25529c1ab5e6ad2316b6fa4084c811b1fd7
Binghamton,NY/US,Cohn & King,Binghamton CK,0,,,1966b54ce3fb7071dd311292cbc15b2a3f2452b18a55efa941f80ee6fca6dc91
Central Oklahoma,OK/US,Eckard & Walker,Central Oklahoma EW,0,,,63b7d1c9ced86dd2c303b44424e604cb4243388987b3064169534fb66835f215
Cornell,NY/US,Dye & Vorontsova,Cornell DV,0,,,0c51c5b9dc21a9284a40c9df53524968aacf7969e3ed56077d33e16924ac396e
CSU Long Beach,CA/US,Medina & Ortega,CSU Long Beach OM,0,,,92c6d63cbc9e66aff9dcaa7b54c526c2c9d5f86c876b1ed1ffd3b4986fc11833
Dartmouth,NH/US,Ben-Abdallah & Carpenter,Dartmouth BC,0,,,7194536a4699743c7b7c4d12c07c5f2d79ac112cb9864824dd73bd3be588d555
Dartmouth,NH/US,Cai & Goldberg,Dartmouth CG,0,,,c3b09b39ea0f295007bce36a875d56f7e8bcbddefe36dcf60c96d57b58f9c040
Dartmouth,NH/US,Jones & Rao,Dartmouth JR,0,,,b57f027180262be7e705051b161ab352a4d70a5335634b4e3599a126b32e3ac1
Emory,GA/US,Gallagher & Song,Emory GS,0,,,1ddfdefc74a94c170af702beb9f6936709a81fdad578e7155cd545c88e401b10
Emory,GA/US,Kim & Shirts,Emory KS,0,,,a02d76bf0da07a20b26868e8b28fd197f37ac3dddea2a0004166aa4958fa85d0
Emory,GA/US,Lobo & Yang,Emory LY,0,,,847f24a888a76f17f73711d8afb95a4dae962578f90b12abf367331769553709
Emory,GA/US,Rupp & Young,Emory RY - WL5,0,WL,,f6bae466b8e97b5fea19efc5c95e232ee95ddaf640b37e2e974820fd906069bd
George Mason,VA/US,Davis & Esteves,George Mason DE,0,,,9a6a9e2210d0019f9e78a6f102cdca6735cb9329fa8e41e7a2b478f779adbf7c
George Mason,VA/US,Witkov & Wright,George Mason WW,0,,,01b4a037e94c64e63f46c63bf6d1e23ef6e4702d89288735b0ad86fc6c28383c
Georgetown,DC/US,Aggarwal & Cowan,Georgetown AC,0,,,40cbdfd14b415f339dbd7ffeab2619658679c882f09bd7427c560aa5e0bcbc5d
Georgetown,DC/US,Greenberg & Tamfu,Georgetown GT - WL2,0,WL,,27d662cc1669b0a2712c53a45d72c9f6e5401fc1516a04f7454bb03f9c52a838
Georgetown,DC/US,Lastelick & Nanji,Georgetown LN,0,,,de22fee965f9ca3f7c089124687ffce776fd5e89441afee151550c16f72b7ef7
Georgia,GA/US,Chapman & Kaidar-Heafetz,Georgia CK,0,,,455181582e03abba98a79a716c340fbe58eac21db17ce64894a9a86049f5442b
Georgia,GA/US,Cannon & Pack,Georgia CP,0,,,a859963999d97266a763f3801281bc5cd3cc18941449ed0330ca369fc6ea13d8
