Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
West Georgia KK,Kansas LS,Vincent H. Li,Neg,"JKeller																																																												29.4																																																																																								JKennon																																																												28.9","LSchultz																																																												29.5																																																																																								RLarson																																																												29.6"
Wake Forest MP,Kansas AU,Jeff Nagel,Neg,"MMbye																																																												28.8																																																																																								RPeters																																																												28.9","CAin																																																												29.0																																																																																								MUlven																																																												29.1"
Emory GM,Michigan GJ,Jenny Vazquez Torres,Aff,"RMaxwell																																																												29.5																																																																																								SGeevarghese																																																												29.3","AGarvey																																																												29.0																																																																																								JJoyce																																																												28.8"
Georgetown GT,Emory CF,Tim Freehan,Neg,"MGreenberg																																																												29.0																																																																																								LTamfu																																																												28.8","CFeldman																																																												28.9																																																																																								VCharabuddi																																																												29.2"
Iowa WE,Baylor LL,Jazmine Pickens,Aff,"NWeimar																																																												28.7																																																																																								BEltyeb																																																												28.9","ILoCicero																																																												28.8																																																																																								YLi																																																												28.6"
Georgetown AC,Emory LY,Victoria Yonter,Neg,"CCowan																																																												29.7																																																																																								AAggarwal																																																												29.1","CYang																																																												29.6																																																																																								LLobo																																																												29.4"
Emory AS,Iowa PA,Chad Meadows,Neg,"SAggarwal																																																												29.1																																																																																								JStumpff																																																												29.2","GParfenoff																																																												29.3																																																																																								SAnderson McElligott																																																												29.5"
Binghamton CK,Macalester HW,Taylor Brough,Aff,"JCohn																																																												28.9																																																																																								AKing																																																												29.0","IHarrison																																																												28.7																																																																																								NWinters																																																												28.8"
Kansas OW,Northwestern LR,Adam White,Aff,"ZWillingham																																																												29.0																																																																																								OOwings																																																												29.6","VRubin																																																												29.2																																																																																								MLi																																																												29.1"
Michigan CC,CSU Long Beach OM,DJ Williams,Neg,"GChamarthy																																																												29.2																																																																																								JChen																																																												29.1","COrtega																																																												29.4																																																																																								DMedina																																																												29.3"
Wake Forest PS,George Mason WW - ONLINE,LaTonya Starks,Aff,"RSencion																																																												28.9																																																																																								VPatel																																																												28.8","AWright																																																												28.7																																																																																								BWitkov																																																												28.6"
Michigan State GL,Emory GS,AJ Byrne,Aff,"JGusis																																																												29.8																																																																																								SLewis																																																												29.7","DGallagher																																																												29.9																																																																																								ISong																																																												29.4"
Kansas LH,Harvard DS,Henry Mitchell,Neg,"AHarker																																																												28.3																																																																																								ALevin																																																												28.1","NDeshpande																																																												28.9																																																																																								ASridharan																																																												28.8"
CSU Long Beach ES,Michigan AO,David Griffith,Neg,"AEscobar																																																												28.8																																																																																								MSaenz																																																												28.7","ROu																																																												28.9																																																																																								WAgustin																																																												29.0"
Missouri State HN,Georgetown LN,Anthony Trufanov,Neg,"SHahn																																																												28.6																																																																																								ANeal																																																												28.5","LLastelick																																																												28.9																																																																																								ANanji																																																												28.8"
UC Berkeley RM,Wake Forest SL,Peyton Reeves,Neg,"EMenotti																																																												28.9																																																																																								RReichel																																																												28.6","JSampat																																																												28.7																																																																																								LLeverett																																																												29.0"
Macalester DC,Georgia CP,Graham Revare,Neg,"ADurbin																																																												28.6																																																																																								MCostello																																																												28.4","LPack																																																												29.0																																																																																								ZCannon																																																												28.7"
