Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Michigan State JS,Northwestern PS,Andrew Allsup,Neg,"ZJarman																																																												28.7																																																																																								GScully																																																												28.8","JPacconi																																																												28.9																																																																																								ASouchet																																																												29.2"
Southern California BR - ONLINE,Michigan CS,Holden Bukowsky,Neg,"RRahman																																																												29.0																																																																																								ABhadani																																																												29.1","BSaudek																																																												29.2																																																																																								SCho																																																												29.4"
Northwestern LL,Wake Forest MP,Azja Butler,Aff,"ALundberg																																																												28.9																																																																																								SLeonard																																																												29.3","MMbye																																																												29.1																																																																																								RPeters																																																												29.0"
Georgetown GT,Baylor LL,Thomas Buttgereit,Neg,"MGreenberg																																																												29.2																																																																																								LTamfu																																																												29.0","ILoCicero																																																												29.6																																																																																								YLi																																																												29.1"
Dartmouth CG,Emory JR,AJ Byrne,Aff,"NCai																																																												29.5																																																																																								LGoldberg																																																												29.2","ARavikumar																																																												29.4																																																																																								TJindal																																																												29.3"
Kentucky GS,Iowa WE,Deven Cooper,Neg,"AGabay																																																												29.0																																																																																								RSlish																																																												28.8","NWeimar																																																												29.1																																																																																								BEltyeb																																																												28.7"
Binghamton CK,Michigan SS,Nathan Davis,Neg,"JCohn																																																												29.2																																																																																								AKing																																																												29.0","CShih																																																												29.4																																																																																								AShah																																																												29.1"
Michigan State GL,Michigan ES,Brian DeLong,Aff,"JGusis																																																												29.6																																																																																								SLewis																																																												29.1","CEsmailzadeh																																																												29.5																																																																																								RShetty																																																												29.2"
Wake Forest DE,George Mason DG - ONLINE,Maverick Edwards,Neg,"EElliott																																																												29.2																																																																																								MDingley																																																												28.7","ADavis																																																												29.3																																																																																								DGorman																																																												28.8"
North Texas VH - ONLINE,Macalester DC,Maeve Ella,Neg,"DVazquez																																																												28.2																																																																																								JHasper																																																												28.1","ADurbin																																																												28.4																																																																																								MCostello																																																												28.3"
Kansas LH,Oklahoma BW - ONLINE,Aaron Fernando,Aff,"AHarker																																																												28.9																																																																																								ALevin																																																												28.8","FWerner																																																												28.3																																																																																								ybustos																																																												28.2"
Baylor PM,Dartmouth HP,Kurt Fifelski,Neg,"JMerriwether																																																												28.6																																																																																								TPhillips																																																												28.7","EPark																																																												28.9																																																																																								EHatton																																																												28.8"
UC Berkeley RM,Emory LY,Tim Freehan,Neg,"EMenotti																																																												29.2																																																																																								RReichel																																																												29.1","CYang																																																												29.3																																																																																								LLobo																																																												29.4"
Emory PS,Michigan CC,Lincoln Garrett,Neg,"MPelli																																																												28.5																																																																																								MStearns																																																												28.6","GChamarthy																																																												29.0																																																																																								JChen																																																												29.1"
Michigan AM,Stanford LL - ONLINE,Ned Gidley,Neg,"AMoon																																																												28.9																																																																																								AAlmand																																																												28.8","KLai																																																												29.2																																																																																								DLai																																																												29.3"
Harvard AB,Western Kentucky CF,Nathan Glancy,Aff,"SAoki																																																												28.8																																																																																								JBodet																																																												28.7","SCarter																																																												29.0																																																																																								RFournier																																																												28.9"
Harvard KF,Wake Forest SK,Jaysyn Green,Neg,"KKundu																																																												28.9																																																																																								ZFacey																																																												28.8","HShakarov																																																												29.0																																																																																								JKampine																																																												29.1"
Iowa KS,Dartmouth KR,Justin Green,Neg,"LSeverson																																																												29.0																																																																																								BKleiman																																																												28.7","SRao																																																												28.8																																																																																								HKatyal																																																												28.9"
Southern California BM - ONLINE,Wake Forest SL,Jyleesa Hampton,Neg,"CBradley																																																												29.2																																																																																								SMartin																																																												29.0","JSampat																																																												29.3																																																																																								LLeverett																																																												29.4"
Dartmouth BJ,Kansas State DR,Tessa Harper,Neg,"SBen-Abdallah																																																												29.0																																																																																								JJones																																																												29.1","TDay																																																												28.8																																																																																								JRaines																																																												28.9"
Georgia CK,Michigan State FM,Kevin Hirn,Neg,"EKaidar-Heafetz																																																												29.3																																																																																								IChapman																																																												29.0","IFoster																																																												29.2																																																																																								HMartin																																																												29.4"
Michigan BP,UTD HK,Shannon Howley,Aff,"EBarrett																																																												29.6																																																																																								JPark																																																												29.5","MKarthik																																																												29.2																																																																																								CHale																																																												29.3"
Kansas AU,Wake Forest PS,Lawson Hudson,Neg,"CAin																																																												28.5																																																																																								MUlven																																																												28.6","RSencion																																																												28.8																																																																																								VPatel																																																												28.9"
Georgetown KL,,Em Jackson,Aff,,
Emory RY,Northwestern AT,Aaron Kall,Aff,"SRupp																																																												29.0																																																																																								JYoung																																																												29.2","BArney																																																												29.1																																																																																								ATahirkheli																																																												28.9"
Wichita State MG - ONLINE,Emory KS,Keryk Kuiper,Neg,"MMolina Chavez																																																												29.0																																																																																								MGriffith																																																												28.9","JShirts																																																												29.2																																																																																								AKim																																																												29.3"
West Georgia KK,Emory CrTa,Storm Lasseter,Aff,"JKeller																																																												29.5																																																																																								JKennon																																																												29.2","TCross																																																												28.8																																																																																								KTaylor																																																												29.0"
Southern California TM - ONLINE,Arizona State SS - ONLINE,Jazmyn Luckett,Aff,"JMills																																																												29.2																																																																																								MTroup																																																												29.3","ASmith																																																												29.0																																																																																								ASaxena																																																												29.1"
Missouri State CG,Kansas SC,Mikaela Malsin,Neg,"JGranger																																																												28.5																																																																																								QCooper																																																												28.6","KChidambaranathan																																																												29.1																																																																																								ISuleman																																																												29.0"
UTD PR,UC Berkeley UB,Gabriel Morbeck,Aff,"RPenumetcha																																																												29.4																																																																																								SRavi																																																												29.2","MUrfalian																																																												29.1																																																																																								IBoguslavsky																																																												29.3"
CSU Long Beach ES,Georgetown LN,Eric Morris,Neg,"AEscobar																																																												28.9																																																																																								MSaenz																																																												28.5","LLastelick																																																												29.2																																																																																								ANanji																																																												28.8"
Trinity PK - ONLINE,George Mason WW - ONLINE,Devane Murphy,Neg,"RPatterson																																																												28.5																																																																																								BKing																																																												28.6","AWright																																																												28.7																																																																																								BWitkov																																																												28.8"
Georgetown AC,Liberty CL,Jeff Nagel,Aff,"CCowan																																																												29.4																																																																																								AAggarwal																																																												29.2","JCunningham																																																												29.1																																																																																								ELayton																																																												29.3"
Dartmouth GM,Emory CG,Subbi Namakula,Aff,"SGuo																																																												29.3																																																																																								KMorley																																																												28.9","JChen																																																												28.7																																																																																								agranchi																																																												28.8"
Baylor BK,,Manny Navarrete,Aff,,
Michigan AO,Kansas BW,Tom O'Gorman,Neg,"ROu																																																												28.8																																																																																								WAgustin																																																												28.7","CBrown																																																												29.1																																																																																								HWalawender																																																												29.0"
Emory GM,Kansas PH,Kwudjwa Osei,Neg,"RMaxwell																																																												28.9																																																																																								SGeevarghese																																																												29.1","BHato																																																												29.3																																																																																								APersinger																																																												29.4"
Georgia CP,Western Kentucky KN,Bryce Rao,Neg,"LPack																																																												28.8																																																																																								ZCannon																																																												28.5","RNey																																																												29.1																																																																																								VKumar																																																												29.2"
Indiana TF,Wyoming WW,Tripp Rebrovick,Neg,"ZFish																																																												28.8																																																																																								MTruemper																																																												28.7","JWillson																																																												28.9																																																																																								SWidi																																																												29.0"
Harvard DS,Emory CF,Thomas Reese,Aff,"NDeshpande																																																												29.1																																																																																								ASridharan																																																												29.0","CFeldman																																																												28.7																																																																																								VCharabuddi																																																												28.8"
Wake Forest BA,Western Kentucky SS,Irshad Reza Husain,Aff,"JBrown																																																												29.3																																																																																								AAderibigbe																																																												29.4","NSchintgen																																																												29.2																																																																																								JStPeter																																																												29.1"
Northwestern LR,Kansas LS,Spencer Roetlin,Neg,"VRubin																																																												29.3																																																																																								MLi																																																												29.1","LSchultz																																																												29.6																																																																																								RLarson																																																												29.7"
Gonzaga WR - ONLINE,Wake Forest HN,Adrian Sendejas,Aff,"KWellman																																																												29.2																																																																																								ERoe																																																												29.0","DHale																																																												29.1																																																																																								KNamikas																																																												28.9"
Kansas HM,Emory OP,jasmine stidham,Neg,"IMartinez																																																												28.5																																																																																								EHernandez																																																												28.4","mokahata																																																												28.7																																																																																								CPark																																																												28.6"
Kansas State SA,UC Davis MS,Eli T. Louis,Aff,"CSand																																																												29.4																																																																																								LArdis																																																												29.6","UShaikh																																																												29.5																																																																																								MMijares																																																												29.3"
Western Kentucky IP,George Mason RS - ONLINE,Trevor Turner,Aff,"KIngram																																																												28.4																																																																																								APuranik																																																												28.2","BReyes																																																												28.1																																																																																								AShananier																																																												28.3"
CSU Long Beach OM,Kansas OW,John Turner,Neg,"COrtega																																																												29.3																																																																																								DMedina																																																												29.0","ZWillingham																																																												29.2																																																																																								OOwings																																																												29.1"
Emory SW,Kansas MB - ONLINE,Addison Wagner,Neg,"MWang																																																												28.8																																																																																								ESo																																																												28.7","SMcConnell																																																												29.0																																																																																								CBath																																																												28.9"
Macalester HW,Georgetown VP,Allegro Wang,Aff,"IHarrison																																																												28.5																																																																																								NWinters																																																												28.8","VValame																																																												28.6																																																																																								NPerez-Rubio																																																												28.4"
Cornell LD - ONLINE,Wyoming CH,Solomon Watson,Neg,"ADiop																																																												28.9																																																																																								DLiang																																																												28.6","JCampbell																																																												28.8																																																																																								JHawley																																																												28.7"
Missouri State HN,Emory AS,Josh Weintraub,Neg,"SHahn																																																												28.8																																																																																								ANeal																																																												28.6","SAggarwal																																																												28.9																																																																																								JStumpff																																																												29.0"
Kansas State DS,Missouri State NS,Jacob Wilkus,Aff,"CSpurlock																																																												27.8																																																																																								KDraeger																																																												27.9","NNeal																																																												28.8																																																																																								ESiever																																																												28.7"
Michigan State GS,Michigan GJ,DJ Williams,Aff,"AGearring																																																												29.0																																																																																								HShehzad																																																												28.9","AGarvey																																																												28.8																																																																																								JJoyce																																																												28.7"
Baylor DL,Iowa BS,Joseph Wofford,Aff,"ODarwish																																																												29.3																																																																																								LLassen																																																												29.2","RBilicki																																																												29.0																																																																																								CSanderson																																																												28.9"
