Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Kentucky GS,Michigan HM,Addison Wagner,Aff,"AGabay																																																												29.3																																																																																								RSlish																																																												29.2","CHwang																																																												28.7																																																																																								IMcIlhenny																																																												28.8"
Navy LS,Georgetown GT,KJ Reese,Neg,"JLawrence																																																												28.4																																																																																								GSatterfield																																																												28.3","MGreenberg																																																												28.8																																																																																								LTamfu																																																												28.7"
Georgetown CX,Michigan CS,Noah Reed,Neg,"JCorrea																																																												28.5																																																																																								CXiao																																																												28.6","CShih																																																												29.8																																																																																								GChamarthy																																																												29.7"
George Mason DE,Dartmouth BG,Dustin Meyers-Levy,Aff,"ADavis																																																												29.3																																																																																								AEsteves																																																												29.2","CBrody																																																												28.9																																																																																								SGoyal																																																												29.0"
Dartmouth JR,Wake Forest PS,Irshad Reza Husain,Neg,"SRao																																																												29.0																																																																																								JJones																																																												29.3","JSay																																																												29.1																																																																																								VPatel																																																												29.2"
Minnesota HK,Georgetown LN,David Griffith,Neg,"JHerzer																																																												29.0																																																																																								VKathner																																																												28.5","LLastelick																																																												29.1																																																																																								ANanji																																																												28.9"
Minnesota HU,Michigan State JS,Johnnie Stupek,Aff,"TUsenov																																																												28.9																																																																																								BHaber-Fawcett																																																												29.0","ZJarman																																																												28.8																																																																																								GScully																																																												29.1"
Georgia CP,Georgetown VZ,Solomon Watson,Aff,"LPack																																																												29.1																																																																																								ZCannon																																																												28.9","HZaidi																																																												28.8																																																																																								SVarkantham																																																												29.0"
Michigan State GS,George Mason TR,Jared DeMunbrun,Aff,"AGearring																																																												29.3																																																																																								HShehzad																																																												29.2","DRichter																																																												28.9																																																																																								RTaxali																																																												28.8"
James Madison OM,NYU JT,Nyx Moore,Aff,"AOehler																																																												29.2																																																																																								MMatzen																																																												29.4","CTheiding																																																												28.8																																																																																								AJain																																																												29.0"
Wyoming WW,Michigan AO,Abhis Sedhai,Aff,"JWillson																																																												29.4																																																																																								SWidi																																																												29.0","ROu																																																												29.2																																																																																								WAgustin																																																												29.1"
Wake Forest MS,Binghamton PT,Subbi Namakula,Neg,"JSampat																																																												28.9																																																																																								MMbye																																																												29.0","ATreulich																																																												29.1																																																																																								NPatel																																																												29.3"
Wake Forest AB,Michigan BL,Anekah Fish,Neg,"JBrown																																																												28.5																																																																																								AAderibigbe																																																												28.6","MBaba																																																												28.7																																																																																								GLedesma																																																												28.8"
James Madison PK,Emory CR,Terrell Taylor,Neg,"MPinto																																																												28.6																																																																																								GKardos																																																												28.7","ARavikumar																																																												29.0																																																																																								VCharabuddi																																																												29.1"
Georgia CL,Michigan State FM,Matthew Granstrom,Neg,"CLackey																																																												28.8																																																																																								IChapman																																																												28.7","IFoster																																																												28.9																																																																																								HMartin																																																												29.0"
