Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Kentucky GS,Michigan CS,Josiah Ferguson,Aff,"AGabay																																																												29.3																																																																																								RSlish																																																												29.1","CShih																																																												29.0																																																																																								GChamarthy																																																												29.2"
Michigan State FM,James Madison OM,Nick Loew,Aff,"IFoster																																																												29.4																																																																																								HMartin																																																												29.3","AOehler																																																												29.1																																																																																								MMatzen																																																												29.2"
Michigan State JS,George Mason DE,Anna Stockstill,Aff,"ZJarman																																																												28.7																																																																																								GScully																																																												28.8","ADavis																																																												29.0																																																																																								AEsteves																																																												28.9"
Emory CR,Michigan State GS,Ben Biggs,Neg,"ARavikumar																																																												29.1																																																																																								VCharabuddi																																																												29.0","AGearring																																																												29.3																																																																																								HShehzad																																																												29.2"
Georgetown LN,Wyoming WW,Jared DeMunbrun,Aff,"LLastelick																																																												29.2																																																																																								ANanji																																																												29.1","JWillson																																																												29.0																																																																																								SWidi																																																												28.8"
,Wake Forest AB,Kumail Zaidi,Neg,,
George Mason TR,Georgetown VZ,Brian DeLong,Aff,"DRichter																																																												29.1																																																																																								RTaxali																																																												29.0","HZaidi																																																												28.7																																																																																								SVarkantham																																																												28.9"
Michigan AO,Minnesota HU,Holland Bald,Neg,"ROu																																																												29.1																																																																																								WAgustin																																																												29.3","TUsenov																																																												29.2																																																																																								BHaber-Fawcett																																																												29.4"
Minnesota HK,Georgetown GT,Terrell Taylor,Neg,"JHerzer																																																												28.7																																																																																								VKathner																																																												28.6","MGreenberg																																																												28.8																																																																																								LTamfu																																																												28.5"
Wake Forest PS,Georgia CP,Flynn Makuch,Aff,"JSay																																																												29.3																																																																																								VPatel																																																												29.2","LPack																																																												29.0																																																																																								ZCannon																																																												28.6"
Binghamton PT,Michigan BL,Noah Reed,Neg,"ATreulich																																																												28.6																																																																																								NPatel																																																												28.7","MBaba																																																												28.8																																																																																								GLedesma																																																												28.9"
Georgetown LV,Dartmouth JR,Abhis Sedhai,Aff,"VValame																																																												29.2																																																																																								NLi																																																												29.5","SRao																																																												29.1																																																																																								JJones																																																												29.3"
Georgia CL,Georgetown CX,Tim Freehan,Aff,"CLackey																																																												29.0																																																																																								IChapman																																																												29.2","JCorrea																																																												28.9																																																																																								CXiao																																																												29.1"
NYU JT,James Madison PK,Addison Wagner,Aff,"CTheiding																																																												28.8																																																																																								AJain																																																												28.6","MPinto																																																												28.5																																																																																								GKardos																																																												28.7"
Navy LS,Dartmouth BG,Matthew Granstrom,Neg,"JLawrence																																																												29.2																																																																																								GSatterfield																																																												28.4","CBrody																																																												28.8																																																																																								SGoyal																																																												28.9"
