Institution,Location,Entry,Code,Record,hash
Binghamton,NY/US,Treulich & Patel,Binghamton TP,,901b53eb749ecf8b2b78a8e0e4bdf7c74397f2d16b1d6dc9b4098ce4ca24ea4c
Cornell,NY/US,Dye & Vorontsova,Cornell DV,,0c51c5b9dc21a9284a40c9df53524968aacf7969e3ed56077d33e16924ac396e
George Mason,VA/US,Davis & Gorman,George Mason DG,,ce8c1c7462efb253aefe104598016e919beb51024b6b566404b929d3684d17ba
George Mason,VA/US,Richter & Taxali,George Mason RT,,f7741b1a6034d4f7cae5287b5e00fd4b9156be7a83cde906c67bbd4f3d1bcde0
George Mason,VA/US,Shananier & Reyes,George Mason SR,,40a8fbec50f5f0706b840901c0a079c966923b6cd71707e79722174e7a5322f1
George Mason,VA/US,Wright & Witkov,George Mason WW,,01b4a037e94c64e63f46c63bf6d1e23ef6e4702d89288735b0ad86fc6c28383c
Harvard,MA/US,Chen & Saneyoshi,Harvard CS,,28c785e9f1cea6e85e10c415e4e6de67b75d5ac5c29872769895e4bebfac8681
James Madison,VA/US,Oehler & Matzen,James Madison OM,,f4044ea855783d57774881362f5ff016962d80acf681e90f4087d3e441fe48ac
Liberty,VA/US,Cunningham & Soares,Liberty CS,,c15adf0bfe0a9a5dcc082661887f54b8d6a3ab00297b11f0333c814d6f9f25a3
Liberty,VA/US,Koenig & Tooley,Liberty KT,,0589c2b24f76e1549381aab208ccf42b4cade987737f1c30228daba6a73c654d
Liberty,VA/US,Layton & Spencer,Liberty LS,,0b8ce4ad24355742697e5cf857c3d4be774e7ea37370b8b22526e1dfbbf59cec
Liberty,VA/US,Lib/JMU KJ,Liberty/James Madison JK,,936895451db7298b7898cc90dd838003c32ab1dac84b72a7c53d4bbf433ce57b
NYU,NY/US,Jain & Theiding,NYU JT,,b38b81c7b58f67e050f0ed296d5e3b09e04f155501b5d5cb02a8e7959e6a39d5
Rochester,NY/US,Ozcayir & Rahman,Rochester OR,,ffe55c3c34e992bbe4f73fb7115b51bae6ad8f8ab64ea9a2550300dea75cfdf8
Suffolk,MA/US,Ludka & Israel,Suffolk LI,,18845ced6d4decf5820075b5f0d5f94f2e0b23b99275273387b450fa69baff45
