Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Isidore Newman WC,Westwood DV,Rodrigo Paramo,Aff,28.7,28.7
Memorial CS,Bronx Science KL,Tyler Thur,Aff,28.8,28.7
Edgemont AP,West Des Moines Valley AM,Justin Wen,Aff,28.7,28.7
Apple Valley ZC,Monta Vista SC,Adam Torson,Neg,28.2,29.0
Marlborough SMe,Harker NB,David Dosch,Neg,28.4,28.9
Brophy AM,Westwood AV,Jim Sydnor,Neg,28.1,28.4
Brophy MC,Edina VS,Tom Woodhead,Aff,28.5,28.4
Harker TP,Memorial EJ,Ishan Rereddy,Neg,29.3,29.7
Marlborough KM,Edgemont AG,Andrew Brandt,Aff,29.4,28.8
Marquette GY,American Heritage Broward CB,Calvin Tyler,Neg,28.3,28.4
Altamont MC,Interlake AA,Ilan Boguslavsky,Aff,28.6,28.5
Strake Jesuit  JW,American Heritage Broward SM,Nathan Weimar,Aff,29.0,29.1
St Luke's SM,Harker RG,Truman Le,Aff,28.7,28.6
Harker AA,American Heritage Broward MC,Truman Le,Aff,29.2,28.0
Harker SSh,Greenhill SK,Harry Yu,Neg,29.9,29.9
Strake Jesuit  AYa,Trinity Prep SH,Shreeram Modi,Aff,29.3,28.8
Harvard-Westlake DB,Harker SS,Nigel Taylor-Ward,Neg,28.8,29.7
West Des Moines Valley DN,Altamont WM,Stephen Scopa,Neg,28.4,28.5
Strake Jesuit  SR,Kinkaid CM,Tajaih Robinson,Neg,29.1,29.2
Immaculate Heart NH,Westwood RN,Andrew Brandt,Aff,29.2,28.7
Flintridge Prep IL,Harvard-Westlake JT,Adam Lipton,Aff,28.9,28.8
Westwood AS,Theodore Roosevelt IR,Michaela Northrop,Neg,27.5,28.1
West Des Moines Valley JC,Bronx Science CH,Martin Sigalow,Aff,28.1,28.1
Brophy NR,Harrison FW,Patrick Tapia,Neg,29.1,29.5
Altamont JS,Isidore Newman JJ,Frasat Chaudhry,Neg,28.5,28.6
Immaculate Heart ES,Harker LC,Elle Dershewitz,Aff,29.5,29.2
St Francis JC,Flintridge Prep BM,Jeremy Kim,Neg,28.7,28.8
Lynbrook BZ,St Francis ZC,Brandon Lin,Aff,29.7,29.0
Harker SD,Edgemont VS,Harry Yu,Aff,29.9,28.9
Harrison AG,Lynbrook VV,Joey Antonelli,Neg,29.3,29.8
Greenhill EX,Plano West NS,Amanda Ciocca,Neg,29.5,29.6
Lynbrook OM,Horace Greeley SG,Vontrez White,Aff,29.6,29.5
Archbishop Mitty AM,Hawken BM,Samantha McLoughlin,Neg,28.6,28.7
Marlborough FM,Greenhill DM,Adam Lipton,Neg,28.3,28.4
American Heritage Broward CM,Harvard-Westlake MR,Ishan Rereddy,Neg,28.9,29.0
Bronx Science LS,Marlborough LS,Elizabeth Elliott,Neg,29.0,29.3
Harker LL,Altamont MF,Avery Wilson,Neg,28.4,28.5
American Heritage Palm Beach NI,Westwood DR,Riley Ro,Aff,29.1,28.6
West Des Moines Valley LS,Horace Greeley CC,Vontrez White,Aff,29.1,29.0
Plano West AR,Marlborough AM,Ilan Boguslavsky,Aff,29.6,29.5
Coppell KT,Lynbrook AS,Mark Kivimaki,Aff,29.3,28.9
Strake Jesuit  LC,Lake Highland Prep NA,Shreeram Modi,Neg,29.1,29.2
Horace Greeley AM,Newark Science AO,Tajaih Robinson,Aff,29.2,28.9
Marlborough RB,Harvard-Westlake KM,Nick Loew,Neg,29.2,29.5
Avon SJ,Harrison AGa,Anthony Berryhill,Aff,30.0,29.5
Isidore Newman DC,Monta Vista EY,Aaron Kim,Neg,29.5,29.7
Westwood TG,Isidore Newman SE,David Asafu-Adjaye,Neg,28.7,29.2
Westridge EK,Altamont SB,Eva Lamberson,Neg,28.3,28.5
Memorial BL,Edina SJ,Elijah Smith,Aff,29.3,28.7
Lake Highland Prep AW,Harrison AN,Brie Thomas McGinnis,Aff,28.0,28.0
Marlborough OO,George Washington IF,Mark Kivimaki,Aff,29.3,28.6
Plano West SG,Marlborough JG,Scott Phillips,Aff,29.1,29.0
Marlborough CS,Barrington AC,Dedeepya Rudraraju,Neg,28.7,29.1
Meadows TB,Flintridge Prep OL,Tyler Thur,Aff,28.9,28.6
Strake Jesuit  KS,Harker AS,Elizabeth Elliott,Neg,28.8,29.0
Flintridge Prep CX,Lake Highland Prep CG,Samantha McLoughlin,Aff,28.9,28.7
Harvard-Westlake LS,Greenhill VT,Clare Bradley,Neg,28.9,29.1
Marlborough LF,Cary Acad PL,Justin Wen,Neg,28.9,29.3
West Des Moines Valley LV,Westwood AT,Jack Gessner,Neg,29.5,29.0
McDowell GW,Trinity Prep CK,Breanna Wollman,Neg,28.0,28.5
Greenhill AK,Sonoma AM,Clare Bradley,Aff,29.1,28.9
Memorial AW,Waring MB,Gianna Ledesma,Neg,29.3,29.4
Edina AJ,St Luke's MW,Rodrigo Paramo,Neg,28.7,28.7
William Fremd AJ,Barrington MR,Taylor Tsan,Aff,28.6,28.5
William Fremd EF,American Heritage Broward ES,Wyatt Hatfield,Neg,28.0,28.7
Brophy VW,Pine View PB,Brandon Lin,Aff,29.1,29.0
Trinity Prep GP,Durham GW,Amanda Ciocca,Neg,28.8,29.1
