Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Loyola ED,Marlborough SS,Ilan Boguslavsky,Aff,28.9,29.0
Marlborough LS,Pinewood CA,Jared Burke,Aff,29.1,28.6
Marlborough SM,Troy Independent JK,Coralynn Yang,Neg,28.7,29.0
Lynbrook VV,Peninsula AU,Jackson Mills,Aff,29.3,29.1
Palos Verdes SP,Marlborough AM,Anish Bhadani,Neg,28.8,29.1
BASIS Scottsdale AK,Marlborough AK,Jeremy Kim,Neg,28.7,29.6
Lynbrook AS,Peninsula AK,Ilan Boguslavsky,Aff,29.1,28.6
Marlborough EF,Loyola RV,Bryce Sheffield,Neg,29.2,29.6
Harker LL,Immaculate Heart NH,Sergio Chavez,Neg,28.7,28.9
Harker TP,Palos Verdes CP,Riley Rees,Aff,29.1,28.6
Marlborough DK,Awty International RY,Adam Mimou,Neg,28.7,28.8
Sage Hill AJ,Loyola CK,Joseph Barquin,Aff,29.0,29.1
Harker SS,Immaculate Heart OG,Sergio Chavez,Aff,29.1,28.3
Harker AS,Greenhill SK,Andrea Chow,Neg,28.7,29.7
Papaya Valley SK,Marlborough LF,William Liu,Neg,29.1,29.2
BASIS Scottsdale JV,Marlborough AL,Arthur Qin,Aff,28.9,28.7
Harker NB,Canyon Crest CD,Austin Loui,Aff,29.6,29.2
Sonoma AM,Loyola SC,Jonathan Meza,Aff,29.1,28.8
Lynbrook ST,Riverside Independent SH,Asher Meron,Aff,29.1,29.0
Harker RG,Mountain View AW,Simone Pisarik,Aff,29.2,29.1
Peninsula KH,Geffen Academy of UCLA JP,Emmelyne Lay,Neg,28.9,29.0
Greenhill AK,Peninsula LZ,Elvis Pineda,Aff,29.5,28.5
Immaculate Heart ES,Harker ASi,Anika Ganesh,Aff,29.2,28.6
Barrington AC,Marlborough EP,Gordon Krauss,Aff,29.3,28.8
Marlborough OO,Meadows TB,Coralynn Yang,Neg,29.3,29.4
Immaculate Heart SH,Loyola MR,Jonathan Meza,Neg,28.8,29.1
Peninsula LZh,Marlborough CS,Bryce Sheffield,Neg,28.7,29.1
Sage Hill IH,Harker SSe,Anish Bhadani,Neg,28.6,29.2
Marlborough JW,Peninsula GY,Julian Kuffour,Aff,29.0,28.8
Loyola UT,Awty International DR,Norma Delgado,Aff,29.6,29.3
Marlborough SW,Loyola JC,Dylan Liu,Aff,28.8,28.5
Los Gatos MS,Marlborough RB,Austin Loui,Neg,29.0,29.3
Ridgecrest EC,Marlborough KM,Jeremy Kim,Neg,28.7,29.2
Harker SD,Immaculate Heart IZ,Jared Burke,Aff,29.6,28.5
Peninsula XB,Coppell KT,Dylan Liu,Neg,29.3,29.5
Loyola EM,Awty International AZ,Asher Meron,Neg,28.7,28.8
Loyola WL,Riverside Independent OT,William Wei,Neg,28.5,28.7
Immaculate Heart OA,Loyola TC,Michael Harris,Aff,28.7,28.2
Harker AA,Riverside Independent PK,Sabeeh Mirza,Aff,29.6,28.7
Peninsula SU,Lynbrook NM,Max Perin,Aff,29.4,28.9
Loyola KO,BASIS Silicon Valley VP,Joseph Barquin,Neg,29.2,29.4
Harker JY,Gunn SP,Joseph Hong,Aff,28.7,28.6
Marlborough JK,Flintridge Prep CX,William Liu,Aff,29.0,25.0
Monta Vista SC,Loyola AK,Rayeed Rahman,Aff,29.5,29.3
Stanford OHS ES,Harker LC,Andres Marquez,Neg,28.5,29.3
Harker JS,Waring MB,Anika Ganesh,Neg,29.4,29.5
Sage Hill LZ,Loyola JR,Michael Harris,Aff,28.3,27.5
Southlake Carroll SK,Harker AY,Krizel Guansing,Aff,28.8,28.5
Mountain View CS,Loyola TH,Julian Kuffour,Neg,28.9,29.0
Lynbrook BZ,Peninsula KT,Patrick Fox,Aff,29.3,28.6
Peninsula JT,Lynbrook OM,Patrick Fox,Neg,28.5,29.3
Harker ID,Immaculate Heart CM,Gordon Krauss,Aff,28.4,28.6
Peninsula JE,BASIS Scottsdale SS,Simone Pisarik,Neg,29.0,28.9
Peninsula DN,Greenhill DM,Elvis Pineda,Neg,29.4,29.7
OC Policy Association NC,Peninsula EC,Emmelyne Lay,Aff,28.9,28.8
