Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Lake Mary FM,Phillips Exeter AD,Sean Wallace,Neg,28.2,28.7
Stuyvesant YL,Lake Highland Prep SR,Coby Hoffman,Neg,29.0,29.1
American Heritage Broward CM,Lexington NP,Yash Agrawal,Aff,29.5,29.4
Holy Trinity Episcopal CH,Sehome RS,Nicholas Ford,Neg,29.2,29.3
Cherry Hill HS East CR,Park City MS,Aaron Yi,Aff,29.1,28.6
Edgemont SS,Cape Fear MS,Mili Iyengar,Neg,28.0,28.0
Stuyvesant MY,Cherokee Trail SA,Coby Hoffman,Aff,29.1,29.0
Mountain Brook WR,Ridge MS,Garrett Bishop,Neg,29.4,29.8
New York State Independent LL,Bridgewater Raritan MY,Tim Stroud,Aff,29.0,28.9
Greenhill DM,Plano West ZM,Jamie Hao,Aff,29.4,29.3
Jasper CW,Chaminade AP,Samantha McGee,Neg,29.0,30.0
Lake Mary JA,Chapin AL,Aimee Trivino,Aff,28.0,27.0
Strake Jesuit  BC,Lake Highland Prep CG,Eva Lamberson,Neg,29.9,30.0
Greenhill SK,Montville AS,Luke Schooler,Aff,29.8,28.0
Horace Greeley SG,Lake Travis AS,Deena McNamara,Aff,30.0,28.8
Clark Advanced Learning Center EL,Hill SM,Chloe Wolf,Neg,29.0,29.1
Fort Walton Beach AW,American Heritage Broward SM,Wyatt Hatfield,Aff,29.0,28.5
Nova 42 EW,Boston Latin AH,Heidi Ward,Aff,27.5,27.0
Lexington LA,Woodrow Wilson BC,Meredith McGowan,Aff,27.0,26.0
Edgemont AP,Clark Advanced Learning Center AB,Ravi Sitwala,Aff,28.5,28.5
Southlake Carroll IM,Strake Jesuit  NF,Ayman Badawy,Neg,29.4,29.5
Plano West AR,Harrison SE,Blake Ziegler,Aff,29.6,29.3
Carrollwood Day GL,Bronx Science CH,Fei-Lu Qian,Neg,28.3,28.5
Millburn SK,Ridge HK,Brooke Schiano-Gonzalez,Neg,28.7,29.5
Laurel CW,Strake Jesuit  BB,Aaron Yi,Neg,28.6,29.0
Northern Valley AC,Plano West CH,Garrett Bishop,Aff,29.8,28.0
Stuyvesant GC,Cherokee Trail AE,Shawn Crisp,Neg,28.0,28.0
Waring MB,Berkeley Carroll JH,Nikita Tanguturi,Neg,29.5,29.7
Fordham Prep OB,West Boca Raton AL,Alicia Stickle,Aff,28.5,27.5
Pusch Ridge Christian SD,McNeil AS,KALPESH PAREKH,Aff,28.5,28.9
St Thomas CO,Walt Whitman SC,Nick Malinak,Aff,29.3,29.2
Ridge SK,Strake Jesuit  SA,Nate Watkins,Aff,29.6,29.0
Strake Jesuit  LC,Wheatley AM,David Cai,Neg,28.9,29.0
Strake Jesuit  JW,Bridgewater Raritan MM,Kathryn DeBois,Neg,27.5,28.0
Robinson BV,Phillips Exeter JL,Haiping Wang,Neg,28.6,29.0
Harrison FW,Elkins SS,Yash Agrawal,Aff,29.4,29.3
Strake Jesuit  SH,Horace Greeley CC,Nicholas Ford,Neg,28.9,29.2
Research Triangle HF,Madison Central AA,Casey Meyer,Neg,28.3,29.1
Brophy YS,Millard North KB,Jyoti Pathak,Aff,29.1,28.7
Greenhill VT,Plano West NS,Luke Schooler,Neg,29.1,29.2
American Heritage Broward ES,Scarsdale VT,Aimee Saunders,Neg,29.5,29.6
Robinson KN,Strake Jesuit  EX,Jordan Brown,Neg,29.0,29.2
Harrison AGa,Ardsley NN,Chris Castillo,Aff,29.2,29.0
Phillips Exeter SB,McDowell GW,Anu Harindran,Neg,26.0,28.0
BASIS Peoria SC,Fort Lauderdale CH,Blake Ziegler,Aff,28.2,27.8
Sequoyah MA,Northland Christian LH,Isaiah Muniz,Neg,28.5,29.5
Eden Prairie IG,Sequoyah EM,Pamela Lee,Aff,27.5,27.0
Southern Lehigh JS,North Allegheny AT,Casey Meyer,Aff,28.9,28.5
Strake Jesuit  KS,St Luke's SM,David Cai,Aff,28.8,28.7
Millburn VS,Maccabees RS,Alpa Arora,Aff,29.0,28.5
Harrison AG,Lake Highland Prep GM,Nate Watkins,Neg,29.9,30.0
Cary Acad LM,Hill JG,Stephen Scopa,Aff,29.2,29.0
Syosset AH,Ridge AM,Frances Yong,Neg,29.8,30.0
Brophy MC,Scarsdale AS,Osmane Sanogo,Aff,29.3,28.3
Cary Acad RP,Phillips Exeter ES,Stephen Scopa,Aff,29.7,29.4
Clark Advanced Learning Center SM,Denver East FN,Meredith McGowan,Neg,28.0,29.0
Bronx Science KL,BASIS Scottsdale JV,Deena McNamara,Aff,30.0,29.0
St Andrew's Episcopal MK,Independent MHK CK,Osmane Sanogo,Aff,29.1,28.5
Fossil Ridge MS,Arizona Chandler Independent SZ,Ravi Sitwala,Neg,27.0,27.3
Mountain Brook CJ,Strake Jesuit  MM,Louis Ewington,Neg,29.0,29.5
City Honors JB,Lexington KZ,Jacob Skolnick,Neg,28.9,29.0
Phillips Exeter MK,American Heritage Broward JC,Neil Buhl,Neg,29.2,29.4
Strake Jesuit  SW,Edgemont AG,Kush Vijapure,Aff,29.1,29.0
Randolph RS,Cabot KB,Wyatt Hatfield,Neg,28.2,28.8
BASIS Peoria SJ,Cary Acad PL,Neil Buhl,Aff,29.4,29.3
Harrison JB,American Heritage Broward JG,Lily Nakakura,Neg,28.9,29.0
Loyola Blakefield NS,Phillips Exeter KG,Tasneem Ghadiali,Neg,28.8,28.8
Ridge EL,Cypress Ranch SS,Shawn Crisp,Aff,29.0,25.0
Chaminade OS,American Heritage Broward CA,Eric Huang,Aff,28.9,28.6
Research Triangle KP,Lake Travis KF,James Grey,Aff,29.5,29.5
Stuyvesant EM,Chapin MK,Eva Lamberson,Aff,30.0,29.9
Phillips Exeter RQ,Lake Highland Prep AC,Ash Bu,Aff,29.2,28.8
Montgomery Blair OR,Strath Haven NS,Elizabeth Nicaj,Neg,27.2,28.3
Greenhill AK,Princeton Day MW,Jharick Shields,Aff,29.3,29.1
Lake Highland Prep NA,Harrison PB,Jordan Brown,Aff,29.4,28.9
Chaminade AS,Brophy AS,Mili Iyengar,Aff,29.1,29.0
Little Rock Central GT,Mountain Lakes EW,Harry Yu,Neg,29.1,29.2
Stuyvesant EJ,Brophy NR,Tracy Brown,Aff,29.0,28.9
Acton-Boxborough NK,Memorial AW,Amanda Ciocca,Aff,29.7,29.2
Woodlands Independent ML,New York State Independent AS,Will Trinh,Aff,29.7,29.6
American Heritage Broward JCo,Greenhill EX,Gaurav jain,Neg,25.0,27.0
Hunter GK,Chapin AF,Spencer Orlowski,Aff,29.2,28.0
Stuyvesant KS,Bronx Science AT,Henry Ediger,Neg,27.5,27.8
Phillips Exeter JMa,Lake Highland Prep JQ,Jamie Hao,Neg,28.3,28.5
Stuyvesant AQ,Colleyville Heritage GM,Harry Yu,Neg,28.2,29.7
Scarsdale AR,American Heritage Broward MC,Louis Ewington,Aff,29.5,29.0
Robinson AD,Lexington OO,Jason Parish,Aff,29.2,29.0
Southern Lehigh AH,Mountain Brook SW,Miah Ebels-Duggan,Neg,27.3,27.4
Pine View BL,Harrison AN,Jyoti Pathak,Neg,29.1,29.3
Colleyville Heritage CB,Pine View PB,Aidan Etkin,Aff,29.5,29.3
LAMP JL,Ridge AB,Rodrigo Paramo,Neg,28.6,28.8
Bridgewater Raritan AP,Brophy KL,Kush Vijapure,Aff,28.8,28.5
Berkeley Carroll ZM,Cherokee Trail ZW,Nick Malinak,Aff,28.0,27.5
George Washington IF,Northland Christian LM,Colton Gilbert,Neg,28.8,29.3
Park Vista CN,Lexington VZ,Rose Larson,Aff,28.9,28.7
Westlake MH,Memorial BL,Aidan Etkin,Neg,29.0,29.7
Phillips Exeter JM,Bronx Science SS,Philimon Yosafat,Neg,29.4,29.5
Greenhill MA,Edgemont VS,Alicia Stickle,Neg,27.9,28.0
William G. Enloe SG,BASIS Peoria SR,Yma Andries,Aff,28.5,28.5
Strake Jesuit  SR,Hunter TB,Tasneem Ghadiali,Aff,28.8,28.0
Dripping Springs AK,Cary Acad TB,Aimee Saunders,Neg,29.0,29.5
Franklin RL,American Heritage Palm Beach NI,Rose Larson,Neg,28.9,29.0
Lexington RB,Lake Highland Prep CB,Susi Campbell,Aff,28.9,29.0
McDowell TK,McCallum JF,Leslie Carlson,Aff,29.0,27.5
Clark Advanced Learning Center GL,North Allegheny SA,Gaurav jain,Neg,25.4,27.0
Brophy VW,Mountain Brook MH,Ethan Park,Aff,29.3,28.8
Pine View CW,Fort Walton Beach CR,Pamela Lee,Neg,28.0,28.3
Syosset AP,American Heritage Broward ZC,Prarthana Sethi Mathur,Neg,29.0,29.0
Vestavia Hills VZ,Strake Jesuit  MZ,Mason Cheng,Aff,29.0,28.9
Strake Jesuit  AY,Bronx Science LS,Chansey Agler,Neg,28.8,28.9
Pennsbury AW,Horace Greeley AM,Prarthana Sethi Mathur,Aff,29.0,28.5
Southlake Carroll AB,Stuyvesant ELi,Amanda Ciocca,Aff,28.8,28.6
Walpole SP,Harrison KI,Chris Castillo,Neg,28.9,29.0
West Boca Raton DS,American Heritage Broward JX,Ash Bu,Aff,29.3,27.0
Strake Jesuit  DV,Phillips Exeter TH,Mason Cheng,Aff,28.5,28.4
Lake Highland Prep AW,Memorial EJ,Nikita Tanguturi,Neg,28.9,29.3
Holy Trinity Episcopal AR,BASIS Chandler WI,Nigel Taylor-Ward,Aff,29.0,28.8
Plano West RC,McNeil NV,Ayman Badawy,Neg,29.5,29.7
Eden Prairie SP,Bronx Science GG,Philimon Yosafat,Neg,29.0,28.9
Plano West SG,LAMP MK,Colton Gilbert,Aff,28.8,28.4
Bridgewater Raritan PM,Palo Alto YZ,Yma Andries,Neg,28.4,28.8
