Aff,Neg,Judge,Win,"Aff								Points","Neg								Points"
Greenhill AK,Harker LC,Mark Kivimaki,Neg,29.2,29.2
Loyola TH,Acton-Boxborough NK,Shreeram Modi,Neg,29.1,29.2
Flintridge Prep IL,Harker SD,Jordan Keller,Neg,29.1,29.5
Lynbrook BZ,Iowa City West FH,Holden Bukowsky,Aff,29.5,28.6
BASIS Silicon Valley JK,Memorial AW,Ethan Greer,Aff,28.7,28.5
Holy Trinity Episcopal CH,West HS SLC LM,Vontrez White,Neg,29.1,29.2
Langham Creek EY,Flintridge Prep CX,Patrick Fox,Aff,28.9,28.6
Horace Greeley CC,American Heritage Broward JX,Nigel Taylor-Ward,Aff,29.3,28.9
Harrison AG,Sonoma AM,Bodhi Rosen,Aff,29.8,29.6
Greenhill EX,Harker NB,Chan Park,Neg,29.3,29.4
Greenhill DM,Interlake JP,Jordan Keller,Aff,29.3,29.2
American Heritage Broward CM,Immaculate Heart ES,Chris Castillo,Neg,28.7,29.0
Harker SSe,Horace Greeley AM,Kumail Zaidi,Aff,29.4,28.6
Isidore Newman DC,Barrington AC,Vontrez White,Aff,29.4,29.3
Peninsula SU,Coppell KT,Patrick Fox,Aff,29.8,29.3
Harker AA,Syosset AP,Holden Bukowsky,Aff,29.1,28.6
Cary Acad RP,Strake Jesuit  KS,Chan Park,Aff,28.6,28.5
Harker SS,BASIS Scottsdale SS,Sachin Aggarwal,Aff,29.5,29.4
Lake Highland Prep NA,West Des Moines Valley LS,Ian Matuszeski,Aff,29.9,29.3
Marlborough LF,Clear Lake RZ,Conner Shih,Aff,29.0,29.1
Loyola UT,Head-Royce AJ,Shreeram Modi,Neg,28.9,29.4
Greenhill VT,Harvard-Westlake LS,Jacob Nails,Aff,29.3,28.9
Plano West SG,Mountain Lakes EW,Elizabeth Elliott,Aff,29.4,29.2
Lexington OO,Vestavia Hills VZ,Ayman Badawy,Neg,28.8,28.9
Monta Vista EY,Sehome RS,Sophia Tian,Aff,29.1,29.0
Colleyville Heritage GM,Marlborough LS,Raunak Dua,Aff,29.4,29.2
Cary Acad LM,Phillips Exeter ES,Eva Lamberson,Neg,28.8,29.6
Awty International DR,Lynbrook OM,Spencer Swickle,Neg,29.3,29.6
Greenhill SK,Horace Greeley SG,Nigel Taylor-Ward,Neg,29.8,29.9
American Heritage Broward ZC,McNeil AS,Michael Harris,Neg,29.1,29.2
Harvard-Westlake KM,Waring MB,Colton Gilbert,Aff,28.8,28.7
Edgemont AP,Plano West AR,Emilio Menotti,Neg,29.3,29.5
Harvard-Westlake AS,Evergreen Valley SK,Truman Le,Aff,29.3,28.9
Cherry Hill HS East CR,Harrison FW,Ana Bittner,Neg,28.9,29.4
Little Rock Central GT,Laurel CW,Sean Wallace,Aff,28.6,28.5
Strake Jesuit  LC,Marlborough OO,Mark Kivimaki,Neg,29.0,29.5
Mountain View AW,Marlborough AM,Adam Lipton,Neg,28.9,29.0
Harvard-Westlake MR,Wheatley AM,Elizabeth Elliott,Aff,29.1,29.0
Harker ID,Millard North CB,Jacob Nails,Neg,28.8,28.9
Greenhill MA,St Thomas CO,Amanda Ciocca,Neg,29.1,29.6
Lynbrook VV,American Heritage Broward CA,Rishi Mukherjee,Aff,29.4,28.5
Harker TP,Memorial EJ,Ethan Greer,Neg,28.6,28.7
Harrison AN,Northland Christian LM,Eliza Buckner,Neg,28.9,29.2
Ridge HK,McNeil NV,Ayman Badawy,Neg,28.7,28.8
Cabot KB,Northern Valley AC,Garrett Bishop,Aff,29.1,29.0
