Pro,Con,Judges,Votes,Win
Nueva YD,Emerald GA,"Gabe Rusk																																						Omair Shahid																																						Justin Wang","Con																															Con																															Con","3-0																															CON"
Harker LL,Sac Country Day MP,"Sameet Das																																						Troy Stone																																						Sadaf Zahoor","Pro																															Pro																															Pro","3-0																															PRO"
Nueva AG,Fairmont Prep LS,"Arnav Mahendra																																						Pradeep Pitchumani																																						Ella Yu","Con																															Con																															Con","3-0																															CON"
Westwood PS,Fairmont Prep HL,"Malcolm Davis																																						Amogh Janganure																																						Tuyen Le","Pro																															Con																															Pro","2-1																															PRO"
College Prep FK,Westwood AG,"Sky Juinio																																						Kayte Chan																																						Nevan Hanford","Pro																															Pro																															Pro","3-0																															PRO"
Vanguard Independent KP,BASIS Peoria Independent AL,"Arnav Mahendra																																						Pradeep Pitchumani																																						Ella Yu","Con																															Con																															Con","3-0																															CON"
Emerald NW,Westwood TX,"Poema Oleas Mekhitarian																																						Eleyn Xiong																																						Nina Potischman","Con																															Con																															Con","3-0																															CON"
Oakwood GR,Fairmont Prep PJ,"William Pirone																																						Angela Wu																																						Aarya Srinivasan","Con																															Con																															Con","3-0																															CON"
College Prep JL,Miramonte CC,"Ara Mehran																																						Mike Liu																																						Shania Hunt","Con																															Con																															Pro","2-1																															CON"
National Debate Club (NDC) IB,Palm Harbor ML,"Akhil Perla																																						Ivan Shah																																						Sanjana Balaji","Con																															Con																															Pro","2-1																															CON"
Bellevue SZ,Emerald KL,"Gabe Rusk																																						Omair Shahid																																						Justin Wang","Con																															Con																															Con","3-0																															CON"
Saratoga LT,Gunn LC,"Smriti Singh																																						Anant Agarwal																																						Anjali Patel","Pro																															Con																															Con","2-1																															CON"
American JP,Leland LC,"Akhil Perla																																						Ivan Shah																																						Sanjana Balaji","Pro																															Pro																															Con","2-1																															PRO"
Flintridge Prep CB,Seven Lakes ME,"Sky Juinio																																						Kayte Chan																																						Nevan Hanford","Pro																															Pro																															Pro","3-0																															PRO"
College Prep HS,Fairmont Prep KT,"Malcolm Davis																																						Amogh Janganure																																						Tuyen Le","Pro																															Pro																															Pro","3-0																															PRO"
Los Altos DD,Leland JY,"Smriti Singh																																						Anant Agarwal																																						Anjali Patel","Pro																															Con																															Con","2-1																															CON"
