Pro,Con,Judges,Votes,Win
Germantown Friends LZ,Acton-Boxborough SV,"Katherine Arias																																						Jianguo Wang																																						Denzel Bell","Pro																															Pro																															Con","2-1																															PRO"
West Windsor Plainsboro South MS,Winston Churchill FK,"Ram Miller																																						Weiyao Xiao																																						Sowmya Iyyaswami","Pro																															Con																															Pro","2-1																															PRO"
Horace Mann WY,Millburn CW,"Jason Barton																																						Ali Fehmi																																						Will Erard","Con																															Con																															Con","3-0																															CON"
National Debate Club (NDC) CP,Christopher Columbus CR,"Anna Zhang																																						Alexander Wang																																						Lichee Liu","Con																															Con																															Con","3-0																															CON"
Regis AL,American Heritage Palm Beach CD,"Kim Reuter																																						Michael Hansen																																						Josh Grabel","Pro																															Con																															Pro","2-1																															PRO"
Newton South PT,Delbarton LK,"Aum Kendapadi																																						Sara Abbasi																																						Haritha Yanam","Pro																															Con																															Con","2-1																															CON"
Potomac MS,West Windsor Plainsboro South GJ,"Zach Dyar																																						Lisa Prainito																																						Bob Shurtz","Pro																															Con																															Pro","2-1																															PRO"
BASIS Peoria CN,Stuyvesant BD,"Kika Agboifo																																						Benjamin Hodges																																						Ryan Curran","Con																															Con																															Con","3-0																															CON"
Lawrenceville MC,Bergen RP,"Kevin Chinoy																																						John Mast																																						Peregrine Beckett","Pro																															Pro																															Pro","3-0																															PRO"
West Windsor Plainsboro South WK,Omega ZC,"Michael Brakaj																																						Suneeta Annamareddy																																						Juan Tian","Con																															Con																															Con","3-0																															CON"
Plano West AB,Millburn SK,"Bhupesh Panwar																																						Prajakta Kapure																																						Ben Chen","Pro																															Con																															Pro","2-1																															PRO"
Newton South DM,Strake Jesuit  CN,"Zach Dyar																																						Lisa Prainito																																						Bob Shurtz","Con																															Con																															Con","3-0																															CON"
Summit ZS,Lincoln-Sudbury RC,"Adam Wang																																						El Contreras																																						Tamali Saha","Con																															Con																															Con","3-0																															CON"
North Gwinnett AL,Strake Jesuit  WL,"Cale McCrary																																						Dessie Yang																																						Aumrita Savdharia","Con																															Con																															Con","3-0																															CON"
Hanover MB,Nightingale Bamford BS,"Eshkar Kaidar-Heafetz																																						Tiffany Foster																																						Kate Totz","Con																															Pro																															Con","2-1																															CON"
Ransom Everglades TM,BASIS Peoria CK,"Michael Brakaj																																						Suneeta Annamareddy																																						Juan Tian","Pro																															Con																															Pro","2-1																															PRO"
Milton Acad XC,Stuyvesant ZK,"Venkat Tadi																																						Robert Heinsen																																						Ife Adedokun","Pro																															Pro																															Pro","3-0																															PRO"
Lexington SR,Ransom Everglades DT,"Judah Jones																																						Vishal Surya																																						Campbell Haire","Pro																															Pro																															Pro","3-0																															PRO"
Townsend Harris MP,Newton South LoSc,"Aum Kendapadi																																						Sara Abbasi																																						Haritha Yanam","Con																															Con																															Con","3-0																															CON"
JR Masterman AS,Newton South LP,"Adam Wang																																						El Contreras																																						Tamali Saha","Pro																															Pro																															Con","2-1																															PRO"
Lexington MZ,BASIS Phoenix GP,"Eshkar Kaidar-Heafetz																																						Tiffany Foster																																						Kate Totz","Con																															Pro																															Con","2-1																															CON"
American Heritage Broward PC,Pittsburgh Central Catholic GA,"Will Hobson																																						Ruslan Arbit																																						Eric Liu","Con																															Con																															Con","3-0																															CON"
Ridge SL,North Allegheny AK,"Ram Miller																																						Weiyao Xiao																																						Sowmya Iyyaswami","Pro																															Pro																															Con","2-1																															PRO"
Brother Rice KP,Bronx Science CC,"Satvik Mahendra																																						Dennis O'Donnell																																						Charlie Yeh","Con																															Pro																															Con","2-1																															CON"
Lexington SM,Newton South CY,"Jason Barton																																						Ali Fehmi																																						Will Erard","Pro																															Pro																															Pro","3-0																															PRO"
Bergen TS,Ridge JA,"Cristian Abarca																																						Rachel Rothschild																																						Joanna Mitri","Pro																															Con																															Pro","2-1																															PRO"
Montville PZ,Lexington HH,"Alexander Lin																																						Julie Gollob																																						Yubao Wang","Con																															Con																															Con","3-0																															CON"
Lincoln-Sudbury KA,Westborough MS,"Nisha Sumesh																																						Young Cho																																						Suman Annambhotla","Pro																															Pro																															Pro","3-0																															PRO"
Bronx Science BM,Seven Lakes LC,"Alexander Lin																																						Julie Gollob																																						Yubao Wang","Con																															Pro																															Pro","2-1																															PRO"
Strake Jesuit  KH,Dougherty Valley WB,"Anna Zhang																																						Alexander Wang																																						Lichee Liu","Con																															Con																															Con","3-0																															CON"
Hunter SS,Browning RR,"Colin Downes																																						Susan Zana																																						Dean Carman","Pro																															Con																															Con","2-1																															CON"
Ransom Everglades GC,McDowell DS,"Arrman Kapoor																																						Samantha Gerber																																						Zain Kapoor","Con																															Con																															Con","3-0																															CON"
Ridge HN,Jasper HL,"Bashir Eltyeb																																						Sahil Sood																																						Daniel Guo","Con																															Con																															Con","3-0																															CON"
Newton South SZ,Acton-Boxborough GW,"Kevin Chinoy																																						John Mast																																						Peregrine Beckett","Con																															Con																															Con","3-0																															CON"
Magnolia DL,BASIS Scottsdale GA,"Sheryl Kaczmarek																																						Sameer Kapasi																																						Henry Anastasi-Scott","Pro																															Con																															Pro","2-1																															PRO"
Newton South TB,Trinity MC,"Kenneth Leja																																						Joe Augustine																																						Evan McElfresh","Pro																															Pro																															Con","2-1																															PRO"
Lake Highland Prep AM,Eden Prairie VD,"Kika Agboifo																																						Benjamin Hodges																																						Ryan Curran","Pro																															Con																															Con","2-1																															CON"
