Pro,Con,Judges,Votes,Win
Acton-Boxborough LL,Strake Jesuit  WL,"Amit Kumar																																						Natalie Ramirez Porras																																						Can Wang","Con																															Pro																															Pro","2-1																															PRO"
CR North KV,Strake Jesuit  DK,"Charlie Yang																																						Samantha Gerber																																						Tarin McAdoo Comer","Pro																															Pro																															Con","2-1																															PRO"
Arlington LC,Newton South TB,"David Levin																																						Kai Brady																																						Seetharam Misro","Con																															Pro																															Con","2-1																															CON"
Lincoln-Sudbury KC,Scarsdale AP,"Suleman Ranjha																																						Jeff Gavornik																																						Wen Tian","Pro																															Pro																															Con","2-1																															PRO"
Horace Mann KE,Newton South DM,"Grisel Reyes																																						Tianyi Wang																																						Kajal Mogha","Pro																															Pro																															Con","2-1																															PRO"
Acton-Boxborough ES,Strath Haven LZ,"Ashley Nguyen																																						John Dalzell																																						Sanjana Gudipati","Con																															Pro																															Pro","2-1																															PRO"
Newton South XW,Horace Mann PJ,"Alex Paul																																						David Cai																																						Jason Barton","Pro																															Con																															Pro","2-1																															PRO"
Bronx Science AE,Newton South LS,"Jeffrey He																																						Ria Vasishtha																																						Karissa Kromminga","Pro																															Pro																															Con","2-1																															PRO"
Bronx Science CC,Acton-Boxborough KE,"Rajendra Singh																																						David Potere																																						Andrew Fostiropoulos","Con																															Con																															Pro","2-1																															CON"
Princeton WT,Horace Mann VS,"Evan Bubniak																																						Luke Sullivan																																						Ayaz Aghayev","Pro																															Pro																															Pro","3-0																															PRO"
Newton South SZ,Acton-Boxborough NS,"Christopher Bartee																																						Eric Liu																																						Mithilesh Pabba","Con																															Con																															Con","3-0																															CON"
Newton South SL,Bronx Science LT,"Jordan Press																																						Ike Rosen																																						Lisa Jolicoeur","Con																															Con																															Pro","2-1																															CON"
Bronx Science TT,Scarsdale HW,"Chelsea Hodgson																																						Dash Gilrain-Lennon																																						Toby Armstrong","Con																															Pro																															Pro","2-1																															PRO"
Acton-Boxborough GS,Ridge SL,"Zach Dyar																																						Ishan Dubey																																						Kendrick Foster","Con																															Con																															Con","3-0																															CON"
Kinkaid ZC,Delbarton LK,"Adam Burke																																						William Caugherty																																						Oren Bernstein","Pro																															Con																															Pro","2-1																															PRO"
Arlington PZ,Bronx Science BI,"Amelia Ritenour																																						Atul Venkatesh																																						Neil Jiang","Con																															Con																															Con","3-0																															CON"
